,INDIC,B_SEPSIS,B_PNEUM,B_HIVAIDS,B_DIARR,B_MALAR,B_MEAS,B_MENING,B_TETAN,B_TB_PUL,B_PERTUS,B_HEMFEV,B_INF_OU,B_ORAL_M,B_DIG_M,B_RESP_M,B_BREA_M,B_REPR_M,B_OU_M,B_ANAEM,B_MALNUT,B_DIABET,B_CARD_AC,B_SICKLE,B_STROKE,B_CARD_OU,B_COPD,B_ASTHM,B_AC_ABD,B_LIVER,B_KIDNEY,B_EPILEP,B_NCD_OU,B_CONGEN,B_P_SML,B_P_ASPH,B_P_PNEU,B_P_SEPS,B_P_OU,B_STB_F,B_STB_M,B_ACC_TRF,B_ACC_TRO,B_FALL,B_DROWN,B_FIRE,B_VENOM,B_FORCE,B_POIS,B_SUIC,B_ASSAULT,B_EXT_OU,B_ECTOP,B_ABORT,B_PIH,B_HAEM,B_OBS_LB,B_O_SEPS,B_PANAEM,B_UT_RUP,B_MAT_OU
1,expected,0.01,0.01,0.05,0.005,0.05,0.0001,0.005,0.0005,0.02,0.0005,0.00001,0.0005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.01,0.02,0.1,0.05,0.1,0.1,0.02,0.005,0.02,0.005,0.01,0.02,0.005,0.01,0.01,0.02,0.005,0.005,0.1,0.005,0.002,0.05,0.005,0.01,0.01,0.01,0.01,0.005,0.01,0.05,0.05,0.05,0.0005,0.002,0.002,0.002,0.0005,0.0005,0.0005,0.00001,0.005
2,elder,0.2,0.2,0.01,0.05,0.1,0.001,0.1,0.02,0.2,0.0,0.0005,0.2,0.2,0.5,0.5,0.2,0.8,0.5,0.2,0.1,0.5,0.5,0.002,0.5,0.8,0.8,0.2,0.5,0.2,0.5,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.2,0.05,0.2,0.2,0.2,0.1,0.1,0.05,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,midage,0.1,0.1,0.2,0.05,0.05,0.001,0.1,0.02,0.2,0.0001,0.005,0.2,0.02,0.5,0.2,0.02,0.2,0.2,0.02,0.05,0.2,0.2,0.002,0.2,0.2,0.2,0.2,0.2,0.05,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.02,0.02,0.1,0.02,0.02,0.02,0.1,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,adult,0.05,0.05,0.5,0.05,0.05,0.001,0.2,0.05,0.5,0.0005,0.1,0.2,0.05,0.05,0.05,0.05,0.05,0.2,0.05,0.05,0.1,0.05,0.02,0.05,0.05,0.01,0.2,0.2,0.05,0.1,0.2,0.2,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.05,0.05,0.5,0.05,0.05,0.05,0.5,0.5,0.8,0.5,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
5,child,0.05,0.05,0.05,0.005,0.1,0.2,0.05,0.1,0.02,0.0005,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0005,0.01,0.1,0.02,0.001,0.2,0.005,0.005,0.0001,0.05,0.05,0.01,0.02,0.2,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.01,0.01,0.2,0.01,0.01,0.01,0.05,0.02,0.02,0.1,0.005,0.005,0.005,0.005,0.005,0.002,0.0005,0.0005,0.0005
6,under5,0.1,0.1,0.1,0.5,0.5,0.5,0.1,0.1,0.005,0.8,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0005,0.1,0.5,0.02,0.0005,0.5,0.0005,0.001,0.0,0.02,0.05,0.01,0.02,0.02,0.0005,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.05,0.1,0.05,0.05,0.05,0.02,0.0,0.01,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,infant,0.2,0.2,0.01,0.5,0.1,0.5,0.1,0.2,0.0001,0.1,0.0005,0.02,0.0,0.0,0.0,0.0,0.0,0.0005,0.0005,0.05,0.002,0.0001,0.2,0.0005,0.0005,0.0,0.0001,0.02,0.002,0.01,0.02,0.0005,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0005,0.005,0.01,0.02,0.02,0.005,0.01,0.0,0.002,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,neonate,0.0,0.0,0.0,0.02,0.0005,0.02,0.1,0.5,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.002,0.0001,0.0005,0.0,0.0005,0.0,0.0,0.01,0.0,0.0,0.02,0.0,0.5,1,1,1,1,1,1,1,0.001,0.001,0.02,0.002,0.02,0.02,0.005,0.005,0.0,0.0001,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,male,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.8,0.5,0.5,0.5,0.8,0.8,0.8,0.0,0.2,0.5,0.5,0.5,0.5,0.8,0.5,0.5,0.5,0.8,0.5,0.5,0.8,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.8,0.8,0.5,0.8,0.5,0.5,0.5,0.5,0.5,0.8,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,female,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.2,0.5,0.5,0.5,0.5,0.5,0.2,1,0.8,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.2,0.2,0.5,0.2,0.5,0.5,0.5,0.5,0.5,0.2,0.5,1,1,1,1,1,1,1,1,1
