numero_cause,CAUSE.C.,CAUSETXT.C.40,V3,Code_proba,ICD_equivalent_code,ICD10_Category,Cat,Group
,A_NRP,Not pregnant or recently delivered,Not pregnant or recently delivered,,,,,
,A_PEND_6W,Pregnancy ended within 6 weeks of death,Pregnancy ended within 6 weeks of death,,,,,
,A_PREG,Pregnant at death,Pregnant at death,,,,,
1,B_SEPSIS,Sepsis (non-obstetric),01.01 Sepsis (non-obstetric),ob_sepsis,A40-A41,I. Certain infectious and parasitic diseases,Infectious and parasitic diseases,"Infectious, parastitic, neonatal and maternal causes"
2,B_PNEUM,Acute resp infect incl pneumonia,01.02 Acute resp infect incl pneumonia,ob_pneum,J00-J22,X. Diseases of the respiratory system,Infectious and parasitic diseases,"Infectious, parastitic, neonatal and maternal causes"
3,B_HIVAIDS,HIV/AIDS related death,01.03 HIV/AIDS related death,ob_hivaids,B20-B24,I. Certain infectious and parasitic diseases,Infectious and parasitic diseases,"Infectious, parastitic, neonatal and maternal causes"
4,B_DIARR,Diarrhoeal diseases,01.04 Diarrhoeal diseases,ob_diarr,A00-A09,I. Certain infectious and parasitic diseases,Infectious and parasitic diseases,"Infectious, parastitic, neonatal and maternal causes"
5,B_MALAR,Malaria,01.05 Malaria,ob_malar,B50-54,I. Certain infectious and parasitic diseases,Infectious and parasitic diseases,"Infectious, parastitic, neonatal and maternal causes"
6,B_MEAS,Measles,01.06 Measles,ob_meas,B05,I. Certain infectious and parasitic diseases,Infectious and parasitic diseases,"Infectious, parastitic, neonatal and maternal causes"
7,B_MENING,Meningitis and encephalitis,01.07 Meningitis and encephalitis,ob_mening,A39; G00-G05,I. Certain infectious and parasitic diseases & VI. Diseases of the nervous system,Infectious and parasitic diseases,"Infectious, parastitic, neonatal and maternal causes"
8,B_TETAN,Tetanus,01.08 & 10.05 Tetanus,ob_tetan,A33-A35,I. Certain infectious and parasitic diseases,Infectious and parasitic diseases,"Infectious, parastitic, neonatal and maternal causes"
9,B_TB_PUL,Pulmonary tuberculosis,01.09 Pulmonary tuberculosis,ob_tb_pul,A15-A16,I. Certain infectious and parasitic diseases,Infectious and parasitic diseases,"Infectious, parastitic, neonatal and maternal causes"
10,B_PERTUS,Pertussis,01.10 Pertussis,ob_pertus,A37,I. Certain infectious and parasitic diseases,Infectious and parasitic diseases,"Infectious, parastitic, neonatal and maternal causes"
11,B_HEMFEV,Haemorrhagic fever,01.11 Haemorrhagic fever,ob_hemfev,A90-A99,I. Certain infectious and parasitic diseases,Infectious and parasitic diseases,"Infectious, parastitic, neonatal and maternal causes"
12,B_INF_OU,Other and unspecified infect dis,01.99 Other and unspecified infect dis,ob_inf_ou,A17-A19; A20-A38; A42-A89; B00-B19; B25-49; B55-B99,I. Certain infectious and parasitic diseases,Infectious and parasitic diseases,"Infectious, parastitic, neonatal and maternal causes"
13,B_ORAL_M,Oral neoplasms,02.01 Oral neoplasms,ob_oral_m,C00-C06,II. Neoplasms,Cancers,Non-communicable diseases
14,B_DIG_M,Digestive neoplasms,02.02 Digestive neoplasms,ob_dig_m,C15-C26,II. Neoplasms,Cancers,Non-communicable diseases
15,B_RESP_M,Respiratory neoplasms,02.03 Respiratory neoplasms,ob_resp_m,C30-C39,II. Neoplasms,Cancers,Non-communicable diseases
16,B_BREA_M,Breast neoplasms,02.04 Breast neoplasms,ob_brea_m,C50,II. Neoplasms,Cancers,Non-communicable diseases
17,B_REPR_M,Reproductive neoplasms MF,02.05 & 02.06 Reproductive neoplasms MF,ob_repr_m,C51-C58; C60-C63,II. Neoplasms,Cancers,Non-communicable diseases
18,B_OU_M,Other and unspecified neoplasms,02.99 Other and unspecified neoplasms,ob_ou_m,C07-C14; C40-C49; C60-D48,II. Neoplasms,Cancers,Non-communicable diseases
19,B_ANAEM,Severe anaemia,03.01 Severe anaemia,ob_anaem,D50-D64,III. Diseases of the blood and blood-forming organs and certain disorders involving immune mechanisme,Anemia and malnutrition,"Infectious, parastitic, neonatal and maternal causes"
20,B_MALNUT,Severe malnutrition,03.02 Severe malnutrition,ob_malnut,E40-E46,IV. Endocrine and nutritional metabolic diseases,Anemia and malnutrition,"Infectious, parastitic, neonatal and maternal causes"
21,B_DIABET,Diabetes mellitus,03.03 Diabetes mellitus,ob_diabet,E10-E14,IV. Endocrine and nutritional metabolic diseases,Diabetes and cardiovascular diseases,Non-communicable diseases
22,B_CARD_AC,Acute cardiac disease,04.01 Acute cardiac disease,ob_card_ac,I20-I25,IX. Diseases of the circulatory system,Diabetes and cardiovascular diseases,Non-communicable diseases
23,B_SICKLE,Sickle cell with crisis,04.03 Sickle cell with crisis,ob_sickle,D57,III. Diseases of the blood and blood-forming organs and certain disorders involving immune mechanisme,Diabetes and cardiovascular diseases,Non-communicable diseases
24,B_STROKE,Stroke,04.02 Stroke,ob_stroke,I60-I69,IX. Diseases of the circulatory system,Diabetes and cardiovascular diseases,Non-communicable diseases
25,B_CARD_OU,Other and unspecified cardiac dis,04.99 Other and unspecified cardiac dis,ob_card_ou,I00-I09; I10-I15; I26-I52; I70-I99,IX. Diseases of the circulatory system,Diabetes and cardiovascular diseases,Non-communicable diseases
26,B_COPD,Chronic obstructive pulmonary dis,05.01 Chronic obstructive pulmonary dis,ob_copd,J40-J44,X. Diseases of the respiratory system,Chronic respiratory diseases,Non-communicable diseases
27,B_ASTHM,Asthma,05.02 Asthma,ob_asthm,J45-J46,X. Diseases of the respiratory system,Chronic respiratory diseases,Non-communicable diseases
28,B_AC_ABD,Acute abdomen,06.01 Acute abdomen,ob_ac_abd,R10,"XVIII. Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other non-communicable diseases,Non-communicable diseases
29,B_LIVER,Liver cirrhosis,06.02 Liver cirrhosis,ob_liver,K70-K76,XI. Diseases of the digestive system,Other non-communicable diseases,Non-communicable diseases
30,B_KIDNEY,Renal failure,07.01 Renal failure,ob_kidney,N17-N19,XIV. Diseases of the genitourinary system,Other non-communicable diseases,Non-communicable diseases
31,B_EPILEP,Epilepsy,08.01 Epilepsy,ob_epilep,G40-G41,VI. Diseases of the nervous system,Other non-communicable diseases,Non-communicable diseases
