"","ego","alter","index_age_sex","time","ego_name","alter_name","age_grp","sex","indice_norm","indice_euclidien","indice_scalar_product","indice_normalised"
"1",1,2,0.513321307488991,1,"Sepsis (non-obstetric)","Acute resp infect incl pneumonia","elder","female",0.284469341859767,0.460770268984101,0.300808305531764,0.0251137398373984
"2",1,3,0.670175109001099,1,"Sepsis (non-obstetric)","HIV/AIDS related death","elder","female",0.511908529570588,0.578370750874546,0.479070063098499,0.0443165040650408
"3",2,3,0.649633335820078,1,"Acute resp infect incl pneumonia","HIV/AIDS related death","elder","female",0.519924430735868,0.595023675735685,0.521018010692324,0.0567636585365854
"4",1,4,0.791624378390703,1,"Sepsis (non-obstetric)","Diarrhoeal diseases","elder","female",0.553412117086227,0.697219740313877,0.594142143897379,0.0535666260162604
"5",2,4,0.839404259909771,1,"Acute resp infect incl pneumonia","Diarrhoeal diseases","elder","female",0.63084895045136,0.757549120645687,0.724170901358004,0.0753227235772356
"6",3,4,0.71351893012206,1,"HIV/AIDS related death","Diarrhoeal diseases","elder","female",0.592905828416132,0.654673071535956,0.583838193338556,0.0697775203252033
"7",1,5,0.455953119206856,1,"Sepsis (non-obstetric)","Malaria","elder","female",0.396997098454804,0.419193831037924,0.249659975315263,0.0330543495934959
"8",2,5,0.513641993759979,1,"Acute resp infect incl pneumonia","Malaria","elder","female",0.449690648258255,0.486167307562135,0.382276953710003,0.0476071951219512
"9",3,5,0.723507412280773,1,"HIV/AIDS related death","Malaria","elder","female",0.557029456200132,0.622694742813863,0.557574065213927,0.0580173577235773
"10",4,5,0.74619996934156,1,"Diarrhoeal diseases","Malaria","elder","female",0.570142710004485,0.663821475213107,0.603276442784152,0.0652113008130082
"11",1,6,0.541671720088447,1,"Sepsis (non-obstetric)","Measles","elder","female",0.367780132503744,0.467444102001782,0.336092264870798,0.0281759349593496
"12",2,6,0.576413603313041,1,"Acute resp infect incl pneumonia","Measles","elder","female",0.428327824039094,0.526317255212492,0.42953289195364,0.0424971544715447
"13",3,6,0.759767015431191,1,"HIV/AIDS related death","Measles","elder","female",0.595274445534885,0.675458963304453,0.626398122099022,0.0580421138211382
"14",4,6,0.809410105757215,1,"Diarrhoeal diseases","Measles","elder","female",0.546695294679226,0.693922837834841,0.632335043387397,0.058893861788618
"15",5,6,0.603643397192957,1,"Malaria","Measles","elder","female",0.406746197005246,0.532016751392061,0.437924500104525,0.0383132926829269
"16",1,7,0.534906892845788,1,"Sepsis (non-obstetric)","Meningitis and encephalitis","elder","female",0.413057117893292,0.496986534535659,0.327744479551715,0.0374932113821138
"17",2,7,0.638972354842184,1,"Acute resp infect incl pneumonia","Meningitis and encephalitis","elder","female",0.523912341195413,0.598755926068322,0.526135100321069,0.0593989024390244
"18",3,7,0.782643730532214,1,"HIV/AIDS related death","Meningitis and encephalitis","elder","female",0.625644582052359,0.699488676788982,0.651873336766654,0.0698619918699188
"19",4,7,0.809689579525104,1,"Diarrhoeal diseases","Meningitis and encephalitis","elder","female",0.650371097671357,0.74604096620946,0.713416179226395,0.0792713008130081
"20",5,7,0.517135852744567,1,"Malaria","Meningitis and encephalitis","elder","female",0.422913640347191,0.499903493467022,0.396940244561424,0.0458243089430895
"21",6,7,0.677255472633727,1,"Measles","Meningitis and encephalitis","elder","female",0.539454441025279,0.622806518114003,0.549462583079889,0.054864512195122
"22",1,8,0.565473802935751,1,"Sepsis (non-obstetric)","Tetanus","elder","female",0.367856706959557,0.479260629500169,0.372024832489617,0.0249937398373983
"23",2,8,0.712985411696626,1,"Acute resp infect incl pneumonia","Tetanus","elder","female",0.510946224645637,0.630430553842208,0.546915914841961,0.0462660975609757
