"","B_SEPSIS.C.7","B_PNEUM.C.7","B_HIVAIDS.C.7","B_DIARR.C.7","B_MALAR.C.7","B_MEAS.C.7","B_MENING.C.7","B_TETAN.C.7","B_TB_PUL.C.7","B_PERTUS.C.7","B_HEMFEV.C.7","B_INF_OU.C.7","B_ORAL_M.C.7","B_DIG_M.C.7","B_RESP_M.C.7","B_BREA_M.C.7","B_REPR_M.C.7","B_OU_M.C.7","B_ANAEM.C.7","B_MALNUT.C.7","B_DIABET.C.7","B_CARD_AC.C.7","B_SICKLE.C.7","B_STROKE.C.7","B_CARD_OU.C.7","B_COPD.C.7","B_ASTHM.C.7","B_AC_ABD.C.7","B_LIVER.C.7","B_KIDNEY.C.7","B_EPILEP.C.7","B_NCD_OU.C.7","B_CONGEN.C.7","B_P_SML.C.7","B_P_ASPH.C.7","B_P_PNEU.C.7","B_P_SEPS.C.7","B_P_OU.C.7","B_STB_F.C.7","B_STB_M.C.7","B_ACC_TRF.C.7","B_ACC_TRO.C.7","B_FALL.C.7","B_DROWN.C.7","B_FIRE.C.7","B_VENOM.C.7","B_FORCE.C.7","B_POIS.C.7","B_SUIC.C.7","B_ASSAULT.C.7","B_EXT_OU.C.7","B_ECTOP.C.7","B_ABORT.C.7","B_PIH.C.7","B_HAEM.C.7","B_OBS_LB.C.7","B_O_SEPS.C.7","B_PANAEM.C.7","B_UT_RUP.C.7","B_MAT_OU.C.7"
"B_SEPSIS.C.7",0,0.469083906492651,0.595040414414815,0.722715817130221,0.414582035188387,0.477077264226184,0.491601013680154,0.478880780562978,0.754547991937939,0.657241591198286,0.423360492448161,0.343656427299107,0.646323300689316,0.693679963351674,0.693453259599859,0.652980355174528,0.735889787308388,0.598865020281155,0.723411891495563,0.826697269122894,0.746015584699965,0.649320004944811,0.640273634836359,0.736307497909239,0.715805783047397,0.834787749332207,0.712875041514793,0.642698722267022,0.732187042350578,0.685620909063605,0.735869959809115,0.633300010214846,0.557932449578291,1,1,1,1,1,1,1,0.634651755449073,0.615387474373057,0.594521160143217,0.652015685497416,0.626052397395726,0.586599493982873,0.588278397320027,0.590018496588045,0.608208665504622,0.678015232813441,0.668489099843589,0.645919847830883,0.718489159946317,0.726839745919039,0.785177795329175,0.732503194343951,0.582633343997011,0.780424423660234,0.759341999569355,0.692480057007129
"B_PNEUM.C.7",0,0,0.599989515355541,0.780192575798845,0.479147256477425,0.528766028898481,0.596904463379149,0.63766970034728,0.606955035559582,0.546789704693482,0.571384013560467,0.50213900049707,0.718210930980681,0.756125388285276,0.644210727406397,0.703885857191712,0.778529871721734,0.695702532025282,0.639431507507805,0.860868542700562,0.800152717208428,0.716070742929775,0.760026622170783,0.783559343274463,0.758197104897484,0.657057247410943,0.596017293669283,0.735024887555363,0.798131334854905,0.775560712928735,0.805794674609433,0.741064852131698,0.738511263230729,1,1,1,1,1,1,1,0.739623726400645,0.726923912647122,0.710326085756651,0.752028377125957,0.726245062445323,0.683737136572178,0.709871517411664,0.705747096625472,0.7121392697771,0.759194644383822,0.776626588172059,0.734413839531691,0.779864069950806,0.79059114945177,0.821711592408141,0.793667511533835,0.685552215792317,0.820469544159781,0.810313671675885,0.785476400252153
"B_HIVAIDS.C.7",0,0,0,0.666385092299594,0.661370660397171,0.686634213257945,0.709466810795662,0.662170651546542,0.559277921845959,0.508380193064687,0.719248550280492,0.617632309344131,0.533323116891719,0.554338491418881,0.540812858077705,0.563637559171239,0.630071737879526,0.475519574537329,0.614772761259681,0.577098947367962,0.701827502987883,0.795088051165867,0.601785761487547,0.790100265845047,0.684902135852818,0.681820877429591,0.739893119909496,0.702873076569676,0.681486092096615,0.677114301393962,0.720616921574016,0.529679893407408,0.664772172017494,1,1,1,1,1,1,1,0.726504373542533,0.738753967845468,0.720755931475517,0.728859829497789,0.722848233875548,0.70824185705747,0.712443654700777,0.672648719295691,0.676176943629795,0.719370436543767,0.75047367459366,0.744529390618501,0.772985228481931,0.74386070975261,0.805799490902988,0.762917022918691,0.729270345671883,0.758887380808887,0.783423148426022,0.694129622585008
"B_DIARR.C.7",0,0,0,0,0.69622476590307,0.74652828851079,0.756960884389033,0.723958486424214,0.797335559374978,0.763100225918935,0.66641986979364,0.677671885011943,0.745661180341891,0.594624497557363,0.791145954568911,0.742271405312258,0.685662774727556,0.717562710451326,0.826367506769967,0.61537263113976,0.832676543059184,0.805118654580257,0.766186973733083,0.816608355348509,0.876586788205383,0.914851961379209,0.832314821107688,0.604108944370832,0.773433450668809,0.751261631986727,0.838207817335502,0.731819701419682,0.820569779859955,1,1,1,1,1,1,1,0.768820152188202,0.753385980307625,0.745961241898472,0.782528685063008,0.761709034019809,0.73680096718279,0.747527916838843,0.664023790090391,0.741072335928955,0.775507374549465,0.787312374854206,0.687023571106604,0.727507636446751,0.830370117366564,0.84837199605819,0.729514026902516,0.783443247384813,0.860407277353384,0.724788449065261,0.673779549802503
"B_MALAR.C.7",0,0,0,0,0,0.552076936797612,0.485357950018454,0.591026668778105,0.771693711553872,0.678206558940284,0.421029527442041,0.401914208022361,0.753944250655243,0.764961821916608,0.759943423846563,0.741756269434528,0.781045624614308,0.713108559308952,0.714474326730951,0.800129624570864,0.809318845426213,0.697333492518569,0.768607966892173,0.73988281414656,0.839166433358446,0.844488881569937,0.707382093619196,0.651242594529055,0.802196218087787,0.757254218379318,0.735135395422643,0.800935126594058,0.795017364903691,1,1,1,1,1,1,1,0.646390162129402,0.655267219620697,0.644361329792138,0.671464467513366,0.669550371618242,0.633941739150053,0.646867396366299,0.60455896179112,0.655124825137449,0.701100359147804,0.702078459710116,0.605525742868857,0.668966925152391,0.702119681646258,0.773061514505927,0.685914850372294,0.595817300890111,0.793745119214107,0.707404821893305,0.671725696588735
"B_MEAS.C.7",0,0,0,0,0,0,0.624238792355023,0.610909422239352,0.745059179604054,0.673512850068907,0.563045253967515,0.463393054035609,0.735268684007795,0.761923787027476,0.742123751069724,0.720583251479933,0.779078201332861,0.696822111037144,0.74666814372847,0.826270793601971,0.755567018468127,0.739361704385137,0.768397003260543,0.802646681050756,0.803966019791955,0.841862226222644,0.750286296967667,0.756830669588355,0.829655504240434,0.79630927609519,0.811488838890094,0.760061608532935,0.749830906197484,1,1,1,1,1,1,1,0.715154376111644,0.692310026647863,0.674014177586145,0.725363646945238,0.628784324383155,0.659103959350726,0.66687647026484,0.676926501054391,0.684558313912637,0.739225147913162,0.747461710952476,0.73122507809174,0.778143335000016,0.79537020851908,0.821838197780385,0.777462964724154,0.694626268208263,0.821942990663429,0.797576703664591,0.754746666952011
"B_MENING.C.7",0,0,0,0,0,0,0,0.551234626438058,0.816712685937284,0.718094879245462,0.471859451593586,0.454280101945796,0.792098019539028,0.815402419235085,0.834424551223123,0.787244279675418,0.831756390748743,0.770257682990742,0.795376728841144,0.874130074194451,0.81431009810107,0.713035484816864,0.837218795416653,0.73270160154735,0.843605164632522,0.916661883087281,0.777874311297127,0.753145541194182,0.836134796980206,0.817135212631702,0.681347892241299,0.814155790591504,0.806751834454411,1,1,1,1,1,1,1,0.699981440602582,0.701659960272556,0.686412193858543,0.716312060627438,0.702866247001374,0.690421221706234,0.694348481853718,0.662105514716593,0.696789799375726,0.718492526585286,0.723202317440004,0.668796103068411,0.738665263240661,0.670951163999994,0.789016543843624,0.743651712975456,0.609304066884931,0.826315739545502,0.762720724094569,0.753736461850706
"B_TETAN.C.7",0,0,0,0,0,0,0,0,0.755911819476026,0.691885327160602,0.59030371243258,0.518576803748146,0.70037451480683,0.733432176251746,0.743250136163692,0.692364371101544,0.757101842969627,0.654686112171263,0.747691545062327,0.796384177264311,0.768332074734852,0.690056621011536,0.707076803247592,0.75270099570367,0.804042128164817,0.885466585630016,0.768483159414043,0.740718074600324,0.788285749600649,0.759086662153729,0.765110554351138,0.735977809153799,0.66101723663186,1,1,1,1,1,1,1,0.655729248287472,0.631380750006439,0.611663353059159,0.663214275074882,0.634419138012117,0.595587824413043,0.596218491258911,0.601087470034898,0.615272011373399,0.685035005644124,0.683446834490538,0.707567822474057,0.76772085930215,0.749650207663768,0.802237532989443,0.742085041866585,0.71613932794019,0.795454282863794,0.768043753175398,0.706801783854896
"B_TB_PUL.C.7",0,0,0,0,0,0,0,0,0,0.445764399512403,0.798699179038937,0.720451177536572,0.680623529592489,0.707422130419261,0.41889906494027,0.696105770821763,0.746874112262935,0.633723870766473,0.717314962888755,0.717332963265051,0.838461391957235,0.864464617814826,0.764655396941871,0.880300140225769,0.775787683682705,0.48172463855686,0.777018233872182,0.84264543824267,0.844289347604206,0.836671931121315,0.854168599778229,0.75637633324676,0.84490290532299,1,1,1,1,1,1,1,0.790437542926096,0.801344003569253,0.800031196661486,0.794555431540796,0.807303311278604,0.771185978303041,0.794811441924343,0.763411268474734,0.770754685041371,0.779652782085434,0.840226754007495,0.854254944995323,0.86382183516484,0.863433071240167,0.881676572701539,0.860548567170112,0.839757571989589,0.84398298891593,0.871100652238996,0.820889219246569
"B_PERTUS.C.7",0,0,0,0,0,0,0,0,0,0,0.738850335925656,0.628785587629389,0.649553806417739,0.673047780599102,0.531935499302228,0.641546007593532,0.711818619265372,0.598753967199219,0.606542698358035,0.772724179710718,0.772923709942004,0.789747032946109,0.673159187363876,0.811686427777445,0.699773865765816,0.53973941088802,0.685582036559199,0.759366911187451,0.749021647079884,0.750779820404873,0.793856869111568,0.633833305684239,0.739289552372294,1,1,1,1,1,1,1,0.780784104410691,0.75876597095362,0.740835461326885,0.78583444843766,0.756454841021189,0.705680004945385,0.737268884183862,0.68782107527978,0.737773512316431,0.785558904930907,0.796732481011989,0.759534868102194,0.800805028739483,0.833000549254939,0.857432755977454,0.791589872451993,0.739079082178846,0.81581218815586,0.809857972070323,0.750973897761201
"B_HEMFEV.C.7",0,0,0,0,0,0,0,0,0,0,0,0.42691317641425,0.757285994886288,0.733836248714663,0.794732278341232,0.747134153019016,0.749621193885093,0.724343434752941,0.761240872872921,0.818607067222897,0.801850233228505,0.705785110293955,0.763040248326199,0.769205248150749,0.83490628253953,0.907084027997087,0.776346617036415,0.61181046222228,0.778850273267282,0.735592498100556,0.774568935114219,0.798212731326895,0.776778310818361,1,1,1,1,1,1,1,0.669643659795203,0.664902574828047,0.656192741458249,0.700554746942582,0.678234986091612,0.650085428489417,0.659392042017272,0.598717430200088,0.661261707122642,0.704032622983926,0.705131367600629,0.558769340078053,0.628278818567675,0.747832988952495,0.733324619901635,0.658831656290537,0.600140994222393,0.750101157514223,0.648225326485734,0.657781105520783
