"","B_SEPSIS.C.7","B_PNEUM.C.7","B_HIVAIDS.C.7","B_DIARR.C.7","B_MALAR.C.7","B_MEAS.C.7","B_MENING.C.7","B_TETAN.C.7","B_TB_PUL.C.7","B_PERTUS.C.7","B_HEMFEV.C.7","B_INF_OU.C.7","B_ORAL_M.C.7","B_DIG_M.C.7","B_RESP_M.C.7","B_BREA_M.C.7","B_REPR_M.C.7","B_OU_M.C.7","B_ANAEM.C.7","B_MALNUT.C.7","B_DIABET.C.7","B_CARD_AC.C.7","B_SICKLE.C.7","B_STROKE.C.7","B_CARD_OU.C.7","B_COPD.C.7","B_ASTHM.C.7","B_AC_ABD.C.7","B_LIVER.C.7","B_KIDNEY.C.7","B_EPILEP.C.7","B_NCD_OU.C.7","B_CONGEN.C.7","B_P_SML.C.7","B_P_ASPH.C.7","B_P_PNEU.C.7","B_P_SEPS.C.7","B_P_OU.C.7","B_STB_F.C.7","B_STB_M.C.7","B_ACC_TRF.C.7","B_ACC_TRO.C.7","B_FALL.C.7","B_DROWN.C.7","B_FIRE.C.7","B_VENOM.C.7","B_FORCE.C.7","B_POIS.C.7","B_SUIC.C.7","B_ASSAULT.C.7","B_EXT_OU.C.7","B_ECTOP.C.7","B_ABORT.C.7","B_PIH.C.7","B_HAEM.C.7","B_OBS_LB.C.7","B_O_SEPS.C.7","B_PANAEM.C.7","B_UT_RUP.C.7","B_MAT_OU.C.7"
"B_SEPSIS.C.7",0,0.51765091483205,0.672986396544842,0.779278857636304,0.436321982451115,0.532585962859978,0.540826779382888,0.561891425424983,0.840495626107411,0.766294429344178,0.453403585241872,0.351365289858329,1,1,1,1,1,0.648790078694488,0.728347775644834,0.817273949028892,0.699639380082386,0.616034553482124,0.607584529639418,0.603483299463212,0.657203066868311,1,0.688427763258203,0.580235787446649,0.652020485706086,0.588596164120128,0.739591992940251,0.601757034674302,0.660240974547845,1,1,1,1,1,1,1,0.735108995147246,0.71599787233698,0.686982265269171,0.756650031331686,0.716604671178096,0.682200134484963,0.685285542426695,0.666162787680995,1,0.758577878004417,0.640062871949911,1,1,1,1,1,1,1,1,1
"B_PNEUM.C.7",0,0,0.654570256523081,0.826300663990105,0.501853627114511,0.570342695696728,0.647252349494995,0.712581821301607,0.666271431565353,0.648850043773362,0.609054513949745,0.538914902406983,1,1,1,1,1,0.753360246853555,0.636899541384797,0.85668387820335,0.780903815723256,0.708529101759004,0.746856562092367,0.726402675649413,0.73070053631385,1,0.580999064311251,0.712078750154527,0.768655529343609,0.73804005070104,0.81461911969057,0.736141815240248,0.766577885643432,1,1,1,1,1,1,1,0.822385960670001,0.807949078734741,0.786559359664858,0.837440793707861,0.800783027744738,0.758108144614481,0.789450652776365,0.773456309346975,1,0.829984934415296,0.766507428658497,1,1,1,1,1,1,1,1,1
"B_HIVAIDS.C.7",0,0,0,0.699996614591923,0.726061362157959,0.762549146490569,0.832097124323228,0.768219086196236,0.594292503798137,0.570140481788573,0.760336657004639,0.721474902955221,1,1,1,1,1,0.408716687516705,0.570911460301667,0.527979169366263,0.616571502788764,0.734395778433993,0.508844962455758,0.687865630676692,0.569524674747215,1,0.700353391301615,0.63346210346482,0.55161584514777,0.551998632102263,0.712373547284758,0.434341458097277,0.660872800029648,1,1,1,1,1,1,1,0.806848693463435,0.781683523092846,0.758589698407367,0.810116273473602,0.758839857757948,0.745124576880116,0.750253762730325,0.727682680766072,1,0.803554958250436,0.719415163132137,1,1,1,1,1,1,1,1,1
"B_DIARR.C.7",0,0,0,0,0.794492116576179,0.781121931020955,0.813283226806678,0.786306822515254,0.844327971170025,0.829931939084414,0.773530232584377,0.745221305619388,1,1,1,1,1,0.750071794737049,0.828405805440014,0.586052838560288,0.810949481969704,0.79380397435193,0.741421794686862,0.771219155981228,0.849757923234157,1,0.814962232559788,0.703187916467842,0.776049844418787,0.776188406068895,0.832556017622439,0.708366517680606,0.791341458697462,1,1,1,1,1,1,1,0.834223811559683,0.817272560657721,0.799088051716107,0.835991002807259,0.808574091189584,0.792185153805292,0.79687871795616,0.756099467324662,1,0.827183384730574,0.768809778485759,1,1,1,1,1,1,1,1,1
"B_MALAR.C.7",0,0,0,0,0,0.589560300805091,0.561945895172949,0.668625997046106,0.828609892771279,0.7534433505095,0.441408943605128,0.430762373697962,1,1,1,1,1,0.725827155766728,0.717151730777157,0.79998527561059,0.75713550458405,0.642290134648974,0.704778097996947,0.651688068553887,0.760804634744069,1,0.655256536658765,0.682587260680014,0.756739493623828,0.729747163775935,0.73504995697494,0.755776585840234,0.768290607582047,1,1,1,1,1,1,1,0.666634535433324,0.682522312935172,0.662595590960801,0.686775037189638,0.687178211629522,0.652147549975013,0.661917713447726,0.643142778738379,1,0.718071431764561,0.626364583024423,1,1,1,1,1,1,1,1,1
"B_MEAS.C.7",0,0,0,0,0,0,0.671426181109866,0.688751690345388,0.807819389502887,0.764851614894633,0.622611828381892,0.497951650004237,1,1,1,1,1,0.771441252313452,0.748842705240915,0.818898517926961,0.726599411277895,0.730243533114823,0.751416612900907,0.731234838597084,0.781945659275286,1,0.737719050783223,0.752372383371275,0.807474216931908,0.766361751702959,0.813013587795686,0.756870367426306,0.759207807933221,1,1,1,1,1,1,1,0.811648091198153,0.792053949047871,0.767007586899306,0.822672383109245,0.708923123702902,0.752956584955799,0.763116087471691,0.758703397504116,1,0.816810280688488,0.734196812887802,1,1,1,1,1,1,1,1,1
"B_MENING.C.7",0,0,0,0,0,0,0,0.6122112926547,0.895254395328793,0.790661828279362,0.495095807763349,0.511066046214903,1,1,1,1,1,0.847046973093648,0.852696013204408,0.891971681639663,0.81201148227789,0.701067060022789,0.830873802110268,0.702876811774612,0.824540173703473,1,0.781009092226822,0.749378246834855,0.831190063930543,0.809023945997052,0.715852043972605,0.835169659896491,0.827456185853634,1,1,1,1,1,1,1,0.773288878606613,0.76664581716765,0.747804480257399,0.794061276095988,0.764046914025811,0.754488893414462,0.759743696837773,0.718189997269038,1,0.787810859829399,0.713498374216931,1,1,1,1,1,1,1,1,1
"B_TETAN.C.7",0,0,0,0,0,0,0,0,0.837692200375621,0.805749429531463,0.666336856264022,0.587075690198091,1,1,1,1,1,0.729396897938536,0.763740535950981,0.799732426398661,0.734912198171806,0.665680583635215,0.691728595590283,0.639635881544773,0.769262148250422,1,0.756176505791172,0.734368972274234,0.751658173789959,0.704312133114029,0.776495295501339,0.730378926344406,0.735141268422136,1,1,1,1,1,1,1,0.761730406546369,0.736440303963443,0.707983495793203,0.770169883981711,0.727351212570069,0.694543562127817,0.69551526327382,0.679122200551237,1,0.76830281956078,0.658598430793569,1,1,1,1,1,1,1,1,1
"B_TB_PUL.C.7",0,0,0,0,0,0,0,0,0,0.50101303575908,0.867932343763518,0.788979571584584,1,1,1,1,1,0.658736913587494,0.684402143424344,0.674131010101702,0.816236064990148,0.866247671654076,0.736744749365649,0.838534585997777,0.73272480791789,1,0.774508394354101,0.847349463069493,0.809914383353716,0.801656227698736,0.860700362298754,0.740866572455436,0.858153258994869,1,1,1,1,1,1,1,0.915432235917202,0.888507098252423,0.880280478502552,0.916321488103753,0.885198846864712,0.8457396207245,0.87671585709254,0.867176202198924,1,0.89927159949072,0.864696789174255,1,1,1,1,1,1,1,1,1
"B_PERTUS.C.7",0,0,0,0,0,0,0,0,0,0,0.830005975976322,0.711423968809385,1,1,1,1,1,0.659868295366964,0.624581197881439,0.783301177110014,0.763288287672345,0.803054400382408,0.692572399517304,0.766925841291981,0.682247885061508,1,0.696215163048289,0.770451904935727,0.734442112977701,0.731367120990907,0.806116154417854,0.647925602712313,0.800293303268879,1,1,1,1,1,1,1,0.885909624288134,0.865049158764222,0.841781420207982,0.890879055172674,0.853759353092239,0.807451443335033,0.842255490714455,0.772553180622166,1,0.871350341842594,0.799072460158355,1,1,1,1,1,1,1,1,1
