"","B_SEPSIS.C.7","B_PNEUM.C.7","B_HIVAIDS.C.7","B_DIARR.C.7","B_MALAR.C.7","B_MEAS.C.7","B_MENING.C.7","B_TETAN.C.7","B_TB_PUL.C.7","B_PERTUS.C.7","B_HEMFEV.C.7","B_INF_OU.C.7","B_ORAL_M.C.7","B_DIG_M.C.7","B_RESP_M.C.7","B_BREA_M.C.7","B_REPR_M.C.7","B_OU_M.C.7","B_ANAEM.C.7","B_MALNUT.C.7","B_DIABET.C.7","B_CARD_AC.C.7","B_SICKLE.C.7","B_STROKE.C.7","B_CARD_OU.C.7","B_COPD.C.7","B_ASTHM.C.7","B_AC_ABD.C.7","B_LIVER.C.7","B_KIDNEY.C.7","B_EPILEP.C.7","B_NCD_OU.C.7","B_CONGEN.C.7","B_P_SML.C.7","B_P_ASPH.C.7","B_P_PNEU.C.7","B_P_SEPS.C.7","B_P_OU.C.7","B_STB_F.C.7","B_STB_M.C.7","B_ACC_TRF.C.7","B_ACC_TRO.C.7","B_FALL.C.7","B_DROWN.C.7","B_FIRE.C.7","B_VENOM.C.7","B_FORCE.C.7","B_POIS.C.7","B_SUIC.C.7","B_ASSAULT.C.7","B_EXT_OU.C.7","B_ECTOP.C.7","B_ABORT.C.7","B_PIH.C.7","B_HAEM.C.7","B_OBS_LB.C.7","B_O_SEPS.C.7","B_PANAEM.C.7","B_UT_RUP.C.7","B_MAT_OU.C.7"
"B_SEPSIS.C.7",0,0.469215921422413,0.585794883785995,0.723475166570679,0.413842215051879,0.447545235109654,0.490013071332345,0.478590525138169,0.750383081614688,0.657143384107107,0.423365545244961,0.340809117699368,0.646199487302724,0.692984208011225,0.69151210002174,0.644863204372011,0.729215240801721,0.596614792701203,0.723413436166206,0.826201586771768,0.743617997239842,0.646612701734736,0.640105618497486,0.733822447738203,0.712933549247759,0.832662552746938,0.71106758075601,0.640549355478272,0.73147482329859,0.683161827366771,0.733867951267036,0.62989841494555,1,1,1,1,1,1,1,1,0.62600240676272,0.615270127817371,0.594392281220548,0.644593700407364,0.625951636406236,0.586458478182122,0.588137662142918,0.581110594776343,0.599165254913607,0.660886857532499,0.659261218495566,1,1,1,1,1,1,1,1,1
"B_PNEUM.C.7",0,0,0.593752096997455,0.780908762407137,0.478729077003608,0.513149086503074,0.596056773349027,0.637663134906834,0.601714461313255,0.546743422363915,0.571598445068408,0.500520428047155,0.718173714216778,0.754458043163872,0.642954008094146,0.698891195389211,0.773864728829741,0.694154699000577,0.639395968417445,0.860605246805909,0.798412469853885,0.714147343691705,0.760151862961995,0.781706890940001,0.756199002292598,0.655959402969684,0.594770854876323,0.733581643346277,0.79776676005423,0.773720670401714,0.804405136452425,0.739143027323276,1,1,1,1,1,1,1,1,0.735711444811337,0.726956964515698,0.710349469961284,0.749208173753412,0.72627582062401,0.683746378668627,0.709895539234684,0.702087747826393,0.707845288373026,0.750800591865341,0.772897423718146,1,1,1,1,1,1,1,1,1
"B_HIVAIDS.C.7",0,0,0,0.66332434594504,0.657606092378255,0.659346933515518,0.714886538662237,0.658175998966321,0.57266951275635,0.499087104561492,0.721389771786209,0.619809983377825,0.52767609315586,0.546232436912381,0.532308923994963,0.550961220220922,0.618442623450755,0.474428217420481,0.609513503670337,0.571265305779407,0.698540418397433,0.788462210734114,0.593249198723014,0.784513136803932,0.676826171295699,0.674964639994657,0.744216421754425,0.706983687579439,0.67728176886598,0.672913358103662,0.724837113965717,0.529910907258618,1,1,1,1,1,1,1,1,0.751769776689794,0.737090087869689,0.71874132048095,0.757267319605184,0.720973223184932,0.705875966785515,0.710157960002701,0.696393054506654,0.69790051028393,0.755094655288878,0.781024636341972,1,1,1,1,1,1,1,1,1
"B_DIARR.C.7",0,0,0,0,0.696083136957077,0.745001542117586,0.756971169446758,0.723974149857186,0.796373621919634,0.763006760042419,0.66656146626061,0.677450347455051,0.745637855236021,0.597849767151914,0.790694584561958,0.738713469132899,0.681529372713606,0.717375746649164,0.826471841764875,0.615212589701173,0.832337783940119,0.804543085954481,0.766147152934034,0.816107938848299,0.875903870708816,0.914136387042119,0.832293522524479,0.6039033114411,0.773343967237127,0.751042325223849,0.838187414320829,0.731670422992942,1,1,1,1,1,1,1,1,0.767237054074944,0.753420166623233,0.745987579224676,0.781325050556466,0.76174965769553,0.736818680169059,0.747556663069661,0.660805900844055,0.739099329402701,0.770325078775137,0.785833524542663,1,1,1,1,1,1,1,1,1
"B_MALAR.C.7",0,0,0,0,0,0.524790028787347,0.484846572497302,0.591242224369243,0.770224812202649,0.678240783359077,0.421201910373063,0.401869803738248,0.7541283036002,0.766213244813972,0.759641213816865,0.737523259451724,0.777432026428611,0.713112999102316,0.71468182201419,0.80021337299202,0.809321403725313,0.69720610038829,0.768982762280634,0.739645092208373,0.838546883249593,0.843880984235654,0.707434118171963,0.651275574138035,0.802294116119023,0.757156957814606,0.735202004428389,0.80106159493897,1,1,1,1,1,1,1,1,0.64215576081166,0.65546769029388,0.644553421547961,0.667577534754724,0.669745113789481,0.63413566844642,0.647068304575171,0.59937017042169,0.651168128599802,0.691108964876197,0.698427029347451,1,1,1,1,1,1,1,1,1
"B_MEAS.C.7",0,0,0,0,0,0,0.603710395157398,0.577824368191588,0.726601705038363,0.653424763548976,0.536688754084919,0.422432602114016,0.719095098560859,0.754421999590359,0.728475103144324,0.699127815935309,0.766038911060698,0.675934262983202,0.72558949056332,0.815445596185548,0.740706973056038,0.720548329105747,0.746783230510072,0.790852494506545,0.790287847445352,0.835790130979354,0.736311560314387,0.740775778410804,0.816762838871428,0.78166470539096,0.799944064942872,0.737281285120828,1,1,1,1,1,1,1,1,0.689090853567037,0.671376308927304,0.6522951570784,0.699034128038256,0.605302611035184,0.635408070158528,0.643593725059535,0.647576113867873,0.656659373438019,0.708633638847152,0.720370761534713,1,1,1,1,1,1,1,1,1
"B_MENING.C.7",0,0,0,0,0,0,0,0.551194051014046,0.823684872645648,0.717548697584751,0.472705025371265,0.45567822585351,0.79267420634042,0.813326449841453,0.833267890345978,0.784515016493747,0.828454522940721,0.772550871647708,0.796124688389592,0.874649124227979,0.814334072711525,0.711725465753093,0.837487989184416,0.731598923627504,0.842247157318966,0.914853566570416,0.779944544981593,0.75538083644389,0.83658888046154,0.817208903655007,0.683203463870118,0.817351749565033,1,1,1,1,1,1,1,1,0.70535699137796,0.702054483048991,0.68675572572402,0.722841198896237,0.703242997385186,0.690787463688509,0.694728258187314,0.667030960254316,0.701967378770016,0.723496184590329,0.729731151291107,1,1,1,1,1,1,1,1,1
"B_TETAN.C.7",0,0,0,0,0,0,0,0,0.754651562031023,0.691891404618142,0.590702089792869,0.519710224266151,0.700606404281934,0.737987934627693,0.74389326899249,0.685671005471993,0.753041153425176,0.65584957501451,0.748136048808165,0.796753793823955,0.769271413957217,0.691139285041046,0.707227530041407,0.753443305901333,0.80470451957603,0.885377493892383,0.769588027212973,0.742006154077411,0.788702176399107,0.760335846270186,0.766313965575339,0.737884339846989,1,1,1,1,1,1,1,1,0.651314403428164,0.631689794223925,0.611950264337533,0.658128448873135,0.634705227525676,0.595876133720664,0.596509178796904,0.594410167777936,0.609936038932212,0.671736303343172,0.678997655073695,1,1,1,1,1,1,1,1,1
"B_TB_PUL.C.7",0,0,0,0,0,0,0,0,0,0.436463165849656,0.802046846119775,0.724349694506891,0.678348752573674,0.699745881921444,0.409355756687678,0.689616028534838,0.73929166550032,0.635820183818903,0.715191530942,0.714831520816834,0.837667988931366,0.859958722199011,0.761458893245467,0.876585977278052,0.770270872828549,0.47350868925692,0.781430779535685,0.849141604881599,0.843984943783879,0.83582289865363,0.860536580545696,0.762317759857483,1,1,1,1,1,1,1,1,0.814920788145299,0.80109687863587,0.799763677618552,0.822056428849391,0.8071757212614,0.770365885319958,0.79443456371064,0.788058583961231,0.793583417175104,0.815346152730633,0.870818163834465,1,1,1,1,1,1,1,1,1
"B_PERTUS.C.7",0,0,0,0,0,0,0,0,0,0,0.738709146950995,0.628788703823554,0.649440049900832,0.678687438762875,0.533282409636042,0.634835312208925,0.708052107495721,0.598755418674696,0.606462933513115,0.772794307096937,0.773491828320008,0.790528017079293,0.673090140969911,0.812343040923184,0.700820475952228,0.540842347596784,0.685639392928839,0.759446273158319,0.74905085353885,0.751554419911422,0.793934984812831,0.633820890923008,1,1,1,1,1,1,1,1,0.776628540714941,0.758784861152955,0.740848116587215,0.78113374763996,0.756471823008883,0.705681317978777,0.737280844615579,0.681308536336138,0.732955814591223,0.775029231636939,0.792274081109589,1,1,1,1,1,1,1,1,1
