"","B_SEPSIS.C.7","B_PNEUM.C.7","B_HIVAIDS.C.7","B_DIARR.C.7","B_MALAR.C.7","B_MEAS.C.7","B_MENING.C.7","B_TETAN.C.7","B_TB_PUL.C.7","B_PERTUS.C.7","B_HEMFEV.C.7","B_INF_OU.C.7","B_ORAL_M.C.7","B_DIG_M.C.7","B_RESP_M.C.7","B_BREA_M.C.7","B_REPR_M.C.7","B_OU_M.C.7","B_ANAEM.C.7","B_MALNUT.C.7","B_DIABET.C.7","B_CARD_AC.C.7","B_SICKLE.C.7","B_STROKE.C.7","B_CARD_OU.C.7","B_COPD.C.7","B_ASTHM.C.7","B_AC_ABD.C.7","B_LIVER.C.7","B_KIDNEY.C.7","B_EPILEP.C.7","B_NCD_OU.C.7","B_CONGEN.C.7","B_P_SML.C.7","B_P_ASPH.C.7","B_P_PNEU.C.7","B_P_SEPS.C.7","B_P_OU.C.7","B_STB_F.C.7","B_STB_M.C.7","B_ACC_TRF.C.7","B_ACC_TRO.C.7","B_FALL.C.7","B_DROWN.C.7","B_FIRE.C.7","B_VENOM.C.7","B_FORCE.C.7","B_POIS.C.7","B_SUIC.C.7","B_ASSAULT.C.7","B_EXT_OU.C.7","B_ECTOP.C.7","B_ABORT.C.7","B_PIH.C.7","B_HAEM.C.7","B_OBS_LB.C.7","B_O_SEPS.C.7","B_PANAEM.C.7","B_UT_RUP.C.7","B_MAT_OU.C.7"
"B_SEPSIS.C.7",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"B_PNEUM.C.7",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"B_HIVAIDS.C.7",0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"B_DIARR.C.7",0,0,0,0,0.814696810096255,0.825912888544334,0.817641691449497,0.810394001681201,1,1,1,0.783863794130015,1,1,1,1,1,1,1,0.675188469937571,0.799892700774925,0.77688550789356,0.767293005805566,1,0.790440299913906,1,1,0.664078562643219,1,1,0.81879317159923,1,0.829337291602386,0.851077359368141,0.864711944741528,0.835484859153391,0.815936772880776,0.815976561630954,0.876885812055093,0.869059035748524,0.889398902267647,0.862011086666074,0.834913936837887,0.892114260226615,0.847937394435255,0.834811086137694,0.840207009099449,0.787472977750997,1,0.871502445733721,0.794711114009414,1,1,1,1,1,1,1,1,1
"B_MALAR.C.7",0,0,0,0,0,0.593039296015562,0.496472834983574,0.656819378056202,1,1,1,0.393211744747473,1,1,1,1,1,1,1,0.664914522344433,0.721498439273079,0.627555540951021,0.578741950985464,1,0.632420231814673,1,1,0.650286498741988,1,1,0.704412302634209,1,0.771669650980204,0.737816902375449,0.727170181581983,0.5441962119672,0.585862049142815,0.686867660020331,0.825453155445265,0.809999195219878,0.721363619960888,0.74012116184076,0.70914267553034,0.749192343848734,0.741284297175234,0.710448456632373,0.724193535420338,0.708290018981224,1,0.784668472109522,0.666252829045904,1,1,1,1,1,1,1,1,1
"B_MEAS.C.7",0,0,0,0,0,0,0.649836992713168,0.702015291961,1,1,1,0.494823710322612,1,1,1,1,1,1,1,0.774927283939836,0.675877612190227,0.734544856909584,0.733908829378407,1,0.715482494443727,1,1,0.756265077996077,1,1,0.817111730836827,1,0.822624479511834,0.839010887825485,0.810142824463843,0.675200200064216,0.726964750161794,0.781825439597677,0.846961140352376,0.83415217984276,0.88117673772932,0.850739973153215,0.816118702024613,0.896125378200278,0.739525918314596,0.811438436567031,0.822882552870994,0.821739119812804,1,0.875525452494005,0.780627692463559,1,1,1,1,1,1,1,1,1
"B_MENING.C.7",0,0,0,0,0,0,0,0.649749349921415,1,1,1,0.422303098771135,1,1,1,1,1,1,1,0.815975763241013,0.778821055472446,0.718127426371309,0.740946584872913,1,0.736242768997719,1,1,0.715517730739395,1,1,0.665588614062827,1,0.808034310869556,0.795709509766657,0.831037955711968,0.65695899488528,0.636108718323906,0.786205131674724,0.845685295153602,0.833258925955657,0.873887468233199,0.854640805855432,0.819581842200048,0.903372273343154,0.839761751390896,0.827494802038621,0.836412252411192,0.768467271437287,1,0.877360753130681,0.774295584919664,1,1,1,1,1,1,1,1,1
"B_TETAN.C.7",0,0,0,0,0,0,0,0,1,1,1,0.537837324237565,1,1,1,1,1,1,1,0.643958125540436,0.642582123763619,0.464363403658873,0.504820504603308,1,0.508912771364916,1,1,0.67363552685794,1,1,0.695802275026954,1,0.63452631260975,0.61538894496744,0.656181459753717,0.608174200435323,0.511886463823402,0.431731565632886,0.632297404607113,0.58687127126554,0.818248646380047,0.765726382863139,0.712632670163116,0.82696659869974,0.74375843381666,0.718006637616314,0.721263016837737,0.717663067640616,1,0.813120021444783,0.633685503031396,1,1,1,1,1,1,1,1,1
"B_TB_PUL.C.7",0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"B_PERTUS.C.7",0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"B_HEMFEV.C.7",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"B_INF_OU.C.7",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.69610513941326,0.589956353401463,0.557608341235518,0.583722741005787,1,0.573845980574532,1,1,0.619942631421529,1,1,0.726138633694198,1,0.7462466574022,0.774546379922073,0.773865833023508,0.598732355291913,0.582818540005859,0.695450704411711,0.818334987867748,0.799705593025956,0.792092674963263,0.771119007180761,0.73229137080785,0.828169767078539,0.69592717961845,0.740887442976568,0.747580429902819,0.727173742848372,1,0.815272484875352,0.663539200104391,1,1,1,1,1,1,1,1,1
"B_ORAL_M.C.7",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"B_DIG_M.C.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"B_RESP_M.C.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"B_BREA_M.C.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"B_REPR_M.C.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"B_OU_M.C.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"B_ANAEM.C.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"B_MALNUT.C.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.654661516964791,0.596138633197596,0.504021827026395,1,0.581939064075988,1,1,0.706606471100109,1,1,0.726135962493879,1,0.757417114668478,0.752916985913805,0.788288394956394,0.799317422642427,0.784126923801171,0.668346420581167,0.807769065408197,0.785867349999058,0.759369724327036,0.747534864224818,0.723070691947385,0.778315704136517,0.664049490051225,0.724455508854868,0.723687538039734,0.725096241346013,1,0.805413178994282,0.631005250727231,1,1,1,1,1,1,1,1,1
"B_DIABET.C.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.490890572696647,0.428750923891311,1,0.41176092986609,1,1,0.595584354939455,1,1,0.665377851300452,1,0.632600926836438,0.726306232269901,0.764883172513926,0.766130706906772,0.725154764206006,0.629249171701167,0.816427185618219,0.797000976685154,0.767714591047944,0.726223395636152,0.691554743350287,0.770518771256406,0.633104136481098,0.693246284603434,0.693019878130667,0.691075789168557,1,0.770547813252004,0.608937959142281,1,1,1,1,1,1,1,1,1
"B_CARD_AC.C.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.317109921173366,1,0.26946215013291,1,1,0.571383707096693,1,1,0.594166697947201,1,0.627137232771777,0.684268057585292,0.712120392196783,0.702800522652243,0.665325178134636,0.539628219300874,0.781175411415629,0.75403147621589,0.705029705531469,0.658978866358376,0.615779877052581,0.707257334838264,0.656920510842613,0.619310915960771,0.620403288852284,0.604498742973535,1,0.720540318214814,0.490655661036094,1,1,1,1,1,1,1,1,1
