"","B_SEPSIS.C.7","B_PNEUM.C.7","B_HIVAIDS.C.7","B_DIARR.C.7","B_MALAR.C.7","B_MEAS.C.7","B_MENING.C.7","B_TETAN.C.7","B_TB_PUL.C.7","B_PERTUS.C.7","B_HEMFEV.C.7","B_INF_OU.C.7","B_ORAL_M.C.7","B_DIG_M.C.7","B_RESP_M.C.7","B_BREA_M.C.7","B_REPR_M.C.7","B_OU_M.C.7","B_ANAEM.C.7","B_MALNUT.C.7","B_DIABET.C.7","B_CARD_AC.C.7","B_SICKLE.C.7","B_STROKE.C.7","B_CARD_OU.C.7","B_COPD.C.7","B_ASTHM.C.7","B_AC_ABD.C.7","B_LIVER.C.7","B_KIDNEY.C.7","B_EPILEP.C.7","B_NCD_OU.C.7","B_CONGEN.C.7","B_P_SML.C.7","B_P_ASPH.C.7","B_P_PNEU.C.7","B_P_SEPS.C.7","B_P_OU.C.7","B_STB_F.C.7","B_STB_M.C.7","B_ACC_TRF.C.7","B_ACC_TRO.C.7","B_FALL.C.7","B_DROWN.C.7","B_FIRE.C.7","B_VENOM.C.7","B_FORCE.C.7","B_POIS.C.7","B_SUIC.C.7","B_ASSAULT.C.7","B_EXT_OU.C.7","B_ECTOP.C.7","B_ABORT.C.7","B_PIH.C.7","B_HAEM.C.7","B_OBS_LB.C.7","B_O_SEPS.C.7","B_PANAEM.C.7","B_UT_RUP.C.7","B_MAT_OU.C.7"
"B_SEPSIS.C.7",0,0.530921786509598,0.671955579377455,0.787471422518798,0.474649635469302,0.54294670564769,0.534151874552004,0.560422761170264,0.851513857473493,0.77496498015945,0.475548926518646,0.384698140716287,1,1,1,1,1,0.695700107348373,0.707594617712264,0.820237073744071,0.738162961160819,0.635538516474049,0.619644972175498,0.590492185024001,0.699043560050083,1,0.704024817892397,0.65455369323779,0.675241941864762,0.671256495086525,0.727286472321694,0.591373988576015,0.670912854696836,1,1,1,1,1,1,1,0.731445221811577,0.711454747301512,0.68388355171915,0.752787254778594,0.714736630541416,0.679760487659312,0.682519777758988,0.671810062244432,1,0.756259910846026,0.637253165815269,1,1,1,1,1,1,1,1,1
"B_PNEUM.C.7",0,0,0.658840597733444,0.837826108098178,0.533689764417021,0.586232014965076,0.645417729833411,0.71880986768679,0.656879743936692,0.637806883577747,0.627273520498258,0.556614999278159,1,1,1,1,1,0.777158545328491,0.635492425038234,0.858211466150499,0.800900194219809,0.717479950833707,0.75604641557599,0.722034822672401,0.756192214745241,1,0.593231176303318,0.753376420116826,0.779845553511036,0.775314401956566,0.80628734611654,0.734798744197842,0.781878127126986,1,1,1,1,1,1,1,0.824565590050136,0.80969085976831,0.789400022011031,0.838481981639663,0.803584951323148,0.762331563806713,0.792291238863671,0.783151229843382,1,0.832181807338557,0.770511300909893,1,1,1,1,1,1,1,1,1
"B_HIVAIDS.C.7",0,0,0,0.704855614168814,0.695012351660975,0.762398527972391,0.782320877631614,0.758766248921834,0.629403702101939,0.603788174298077,0.76295632575907,0.684770571787461,1,1,1,1,1,0.504635720846157,0.559690089022175,0.563674027046985,0.665423898361594,0.748409446928011,0.54319610763823,0.663698534862145,0.628654144118789,1,0.714868462118369,0.69018592926871,0.588776189553021,0.634191861892082,0.693079012008501,0.459210325203417,0.667129920810546,1,1,1,1,1,1,1,0.81278454294446,0.788546436715412,0.766895333927506,0.814941709521275,0.766817971166996,0.754535769615344,0.759630601918925,0.744084546695165,1,0.809250240525946,0.731098068165321,1,1,1,1,1,1,1,1,1
"B_DIARR.C.7",0,0,0,0,0.719787707429634,0.782865116983342,0.806936385445004,0.790797355502882,0.856852909063619,0.799613947241417,0.706569592917987,0.72951215815937,1,1,1,1,1,0.772902224873199,0.810080350504615,0.586695101227565,0.823803827356419,0.795230639514126,0.725558083321254,0.764448201050918,0.865278423093163,1,0.824428554595893,0.604545166391866,0.744914593510516,0.741457643787079,0.829880094714008,0.716055135567468,0.826269464917379,1,1,1,1,1,1,1,0.826481418206932,0.808075506899932,0.799198148158306,0.836781014940816,0.81438263487282,0.790745283640771,0.802691537114646,0.708335461470483,1,0.825397973325139,0.767986506717249,1,1,1,1,1,1,1,1,1
"B_MALAR.C.7",0,0,0,0,0,0.590938527616214,0.52699352518718,0.669776294803508,0.847387296316493,0.730628226744486,0.444117613295333,0.4446345386781,1,1,1,1,1,0.764128240751113,0.67184885660931,0.765973513693912,0.778240440345283,0.66344093192104,0.690257834183882,0.624071570173199,0.799559812740717,1,0.681437382295737,0.635555506022873,0.742024877642771,0.723107220644289,0.706842645158835,0.753856418961086,0.783283502442436,1,1,1,1,1,1,1,0.68566913846308,0.6968486872735,0.684437740431146,0.707157763786049,0.709438297345169,0.674839650011243,0.688882636840326,0.637683427960826,1,0.734236699416443,0.65361904300063,1,1,1,1,1,1,1,1,1
"B_MEAS.C.7",0,0,0,0,0,0,0.676715411589033,0.697925588089468,0.819127735121244,0.726913840946002,0.62449656564473,0.519903827991312,1,1,1,1,1,0.79550025174851,0.73971535554024,0.792462588797473,0.756736801578426,0.740309755792989,0.72199940748408,0.733579226158734,0.802173771618999,1,0.750700274862896,0.77497538025501,0.811479417781356,0.798588189430514,0.81314154126541,0.75478442003016,0.797040867252069,1,1,1,1,1,1,1,0.808283224938807,0.784980935147276,0.762022468974087,0.813066596555183,0.706187957461333,0.748940963635073,0.758384334074877,0.758369217989011,1,0.815017142596387,0.728987541321496,1,1,1,1,1,1,1,1,1
"B_MENING.C.7",0,0,0,0,0,0,0,0.602402908460999,0.898347285693562,0.795453810058129,0.509347121763493,0.490724112339406,1,1,1,1,1,0.852827542499846,0.790007911455592,0.872989144626494,0.81281952589285,0.704250088124911,0.828819066978593,0.652910838867678,0.838054144979928,1,0.777461197043062,0.767131687467302,0.817343786269033,0.815600517715968,0.677363635342217,0.81096346641531,0.830146522710898,1,1,1,1,1,1,1,0.774903218497884,0.767921308386415,0.749503943588534,0.793512215289261,0.765315704921884,0.756281763713668,0.761054927089125,0.727716576058586,1,0.788589410122309,0.716857721689298,1,1,1,1,1,1,1,1,1
"B_TETAN.C.7",0,0,0,0,0,0,0,0,0.848552359920843,0.808174339885501,0.666000427397357,0.590226005292967,1,1,1,1,1,0.763422553800314,0.740821363064584,0.801193319077166,0.766054656098716,0.678901063475446,0.696481495649313,0.62462277272386,0.795536885541088,1,0.766813689001918,0.761273948145076,0.748710129105088,0.75582884528281,0.763116609458836,0.716824089690437,0.749215094766878,1,1,1,1,1,1,1,0.757772691856154,0.731713001701971,0.705438667326378,0.766599343851608,0.725763768092515,0.691655946707356,0.693135150690711,0.683425853962092,1,0.765509632058816,0.6552677373431,1,1,1,1,1,1,1,1,1
"B_TB_PUL.C.7",0,0,0,0,0,0,0,0,0,0.530393346716034,0.879138442755159,0.804799893857511,1,1,1,1,1,0.705262633653129,0.708990727849287,0.71523462446886,0.842684833267591,0.870270266782663,0.761909895400421,0.84945368890838,0.770341892444977,1,0.783071963261732,0.875869092019165,0.831604841880929,0.840692401087995,0.865796170669025,0.758704292646727,0.864946806026737,1,1,1,1,1,1,1,0.915689967738344,0.890804205557937,0.887632478600924,0.921858418541271,0.892244530099461,0.856046775106857,0.884996292296749,0.878364733035253,1,0.905322780628213,0.874456175707554,1,1,1,1,1,1,1,1,1
"B_PERTUS.C.7",0,0,0,0,0,0,0,0,0,0,0.828628704526221,0.734257593450038,1,1,1,1,1,0.713444451546068,0.646128057545556,0.756607640885806,0.798185047734105,0.818136820518925,0.659731654599527,0.788046309396952,0.730589599585164,1,0.715087220591177,0.799095098957411,0.759555891014344,0.781777996734443,0.81616831639849,0.678089675875279,0.807139007025697,1,1,1,1,1,1,1,0.890701015281217,0.86734608745636,0.847231601310218,0.885745005838294,0.858330060996348,0.815426729736076,0.84791955589303,0.78975455241314,1,0.878423735232913,0.808146343769301,1,1,1,1,1,1,1,1,1
