"","B_SEPSIS.C.7","B_PNEUM.C.7","B_HIVAIDS.C.7","B_DIARR.C.7","B_MALAR.C.7","B_MEAS.C.7","B_MENING.C.7","B_TETAN.C.7","B_TB_PUL.C.7","B_PERTUS.C.7","B_HEMFEV.C.7","B_INF_OU.C.7","B_ORAL_M.C.7","B_DIG_M.C.7","B_RESP_M.C.7","B_BREA_M.C.7","B_REPR_M.C.7","B_OU_M.C.7","B_ANAEM.C.7","B_MALNUT.C.7","B_DIABET.C.7","B_CARD_AC.C.7","B_SICKLE.C.7","B_STROKE.C.7","B_CARD_OU.C.7","B_COPD.C.7","B_ASTHM.C.7","B_AC_ABD.C.7","B_LIVER.C.7","B_KIDNEY.C.7","B_EPILEP.C.7","B_NCD_OU.C.7","B_CONGEN.C.7","B_P_SML.C.7","B_P_ASPH.C.7","B_P_PNEU.C.7","B_P_SEPS.C.7","B_P_OU.C.7","B_STB_F.C.7","B_STB_M.C.7","B_ACC_TRF.C.7","B_ACC_TRO.C.7","B_FALL.C.7","B_DROWN.C.7","B_FIRE.C.7","B_VENOM.C.7","B_FORCE.C.7","B_POIS.C.7","B_SUIC.C.7","B_ASSAULT.C.7","B_EXT_OU.C.7","B_ECTOP.C.7","B_ABORT.C.7","B_PIH.C.7","B_HAEM.C.7","B_OBS_LB.C.7","B_O_SEPS.C.7","B_PANAEM.C.7","B_UT_RUP.C.7","B_MAT_OU.C.7"
"B_SEPSIS.C.7",0,0.516512467760517,0.674341557127273,0.792147146579666,0.456562412470298,0.539064176577616,0.536324516570189,0.562824403561615,0.800074114396673,0.745757987737056,0.465451562980293,0.384794879971098,0.710607166168082,0.752436780410987,0.735060960020204,1,0.829041373114894,0.687022322053253,0.704508118634823,0.821770912147571,0.734267184364528,0.608567961062996,0.607263938209874,0.724247505553814,0.699160608336792,0.816838300051281,0.700624434931414,0.646963551367192,0.666539579830412,0.665086775219551,0.724097920461372,0.597790106532447,0.472367732483389,1,1,1,1,1,1,1,0.679850525660783,0.658849631138921,0.677612444692533,0.699757554670779,0.709908020721589,0.67284530780893,0.675647571038711,0.668700028977329,0.69213229174166,0.718948838669417,0.634580501287088,1,1,1,1,1,1,1,1,1
"B_PNEUM.C.7",0,0,0.652795097738193,0.839944959995101,0.514286536030927,0.574896859998303,0.640060639897775,0.712120774171281,0.629875269638365,0.590790146178866,0.616172841111915,0.545640888676625,0.769953392476038,0.805011151138085,0.670423627806168,1,0.858513050670972,0.767606997575289,0.622152635826308,0.859657964939452,0.795351154048774,0.691040321719747,0.75051536191482,0.777981209588152,0.750234574450962,0.641563940353527,0.58134560063135,0.744356560690448,0.753699832274808,0.768481554369947,0.801535115048105,0.729850122036219,0.715062096826319,1,1,1,1,1,1,1,0.778517836250438,0.764928639151212,0.782748779170075,0.792358306376511,0.797867482434456,0.754104391435102,0.785439385199669,0.775383946626199,0.783586924859535,0.794463468640561,0.762201873283153,1,1,1,1,1,1,1,1,1
"B_HIVAIDS.C.7",0,0,0,0.715558966704168,0.725846307590444,0.766310473590819,0.772788312389284,0.754592907111276,0.581429342586874,0.552445787319283,0.792307660052318,0.685572176166555,0.571284086842167,0.588565319049536,0.562805043020112,1,0.675748270633345,0.520104805824747,0.592944638531505,0.557353764951309,0.690300597673982,0.76809634736263,0.576635702493221,0.784359227481757,0.670814750799121,0.665500392261042,0.731852492175297,0.710755466301282,0.633851606765015,0.661927850548634,0.71076134456997,0.496420340289692,0.628889616993404,1,1,1,1,1,1,1,0.768752686776663,0.782621718530581,0.804724331035016,0.77167167300697,0.802568122102748,0.79321898513449,0.798847650858092,0.74468153102304,0.749658201203338,0.754760782449316,0.732261115066337,1,1,1,1,1,1,1,1,1
"B_DIARR.C.7",0,0,0,0,0.74637837696657,0.809415652406497,0.809478777895748,0.792422236804461,0.827107485900446,0.823616257179004,0.712275568410373,0.731472640349305,0.789507395869675,0.622724701356861,0.821463259400018,1,0.731057504061983,0.776120109949569,0.823268393211053,0.603153316870885,0.83036351626841,0.786462463801776,0.759452292769282,0.813638415109829,0.876394550629802,0.903059892838096,0.830213080452729,0.604365256466549,0.738956885543298,0.744570385036688,0.836245585076238,0.723005844562164,0.808993572454613,1,1,1,1,1,1,1,0.80158607638029,0.785170991762106,0.80730809214752,0.81653465656645,0.822946261308663,0.798609006633402,0.811227821948285,0.713041827950562,0.800847229760781,0.805164676650774,0.776727442886159,1,1,1,1,1,1,1,1,1
"B_MALAR.C.7",0,0,0,0,0,0.603356796284222,0.518003181272532,0.660057526512738,0.807087962143943,0.742876121030309,0.450918789257491,0.435212819723226,0.811974614177108,0.816378669771411,0.795840104373128,1,0.86427875719622,0.791460016772795,0.701905627073755,0.795158851106096,0.805177217377368,0.671037638233414,0.759480334865645,0.731599639989268,0.836330540367269,0.8300919428065,0.698139536673129,0.654843411644552,0.755942716683871,0.748637686058295,0.7267416057443,0.794120629290166,0.775230378579532,1,1,1,1,1,1,1,0.678519730777532,0.688372823697792,0.708084155236777,0.705922037010585,0.734089536796301,0.698452738258012,0.713963783537549,0.660320354753379,0.719441008457848,0.732829423066802,0.68219937104702,1,1,1,1,1,1,1,1,1
"B_MEAS.C.7",0,0,0,0,0,0,0.678086559332018,0.699253082010684,0.78234225308195,0.747110670757076,0.61476148239574,0.510662168413257,0.7988309687472,0.819151734006399,0.780904524360928,1,0.871517739823677,0.784921359273918,0.734556791550967,0.822371448472968,0.746846336660292,0.709463128826221,0.757124229842177,0.797290443231378,0.797788413381062,0.826160272722797,0.742381343296558,0.769879058159318,0.775353411890468,0.789297598686516,0.806836631247713,0.747588725504519,0.719617571348146,1,1,1,1,1,1,1,0.759109674046636,0.734235504825398,0.754141257190247,0.770788141504108,0.695799578305633,0.739850723967451,0.749808719995928,0.755001764145086,0.765113080633776,0.778512448670024,0.727587749668663,1,1,1,1,1,1,1,1,1
"B_MENING.C.7",0,0,0,0,0,0,0,0.603234707366683,0.851791722076247,0.780571192472703,0.502718798139256,0.488232877684372,0.847567422977911,0.866641197943894,0.872310477937111,1,0.920486324909075,0.84791568780735,0.789744292882731,0.873762080349499,0.810681869645185,0.690376871206669,0.834095467556954,0.725033497965555,0.841389746205292,0.903718386892386,0.772915884116249,0.762821549772818,0.794967102889672,0.813236412362643,0.67127587562384,0.809353431415696,0.791555891660147,1,1,1,1,1,1,1,0.732038068226266,0.73406017235399,0.747905129517296,0.749866603507453,0.764086731898741,0.754711380154208,0.759585659660458,0.718498783240751,0.758887730924685,0.7478938640192,0.707302551781758,1,1,1,1,1,1,1,1,1
"B_TETAN.C.7",0,0,0,0,0,0,0,0,0.800735286764187,0.786275036058769,0.657380368937413,0.588617535391205,0.771285019776094,0.796331801995669,0.789203931517318,1,0.856437854499486,0.754064363540812,0.732187275210184,0.789151600535795,0.75883474864508,0.651807190931442,0.684225025567394,0.742334497235466,0.796444091650892,0.868131055507983,0.760425900696,0.754939832924448,0.723076904886662,0.746588069683166,0.755948647884153,0.716013965961923,0.601061193635713,1,1,1,1,1,1,1,0.702228545670529,0.675533463057974,0.696277728368142,0.711075751302532,0.717911334564313,0.681354581299003,0.682826951862077,0.67999517951702,0.698458916765934,0.725840024647468,0.652096862481126,1,1,1,1,1,1,1,1,1
"B_TB_PUL.C.7",0,0,0,0,0,0,0,0,0,0.461271439715383,0.83574014912084,0.756134193557016,0.686653062295531,0.71338635021105,0.420375464332451,1,0.785731793189375,0.662042735842985,0.674472174309902,0.681582501918489,0.800834680269198,0.789938439265305,0.717983404936045,0.842374704061156,0.735965001152086,0.445874862429246,0.744050405452405,0.820899217090253,0.766917017110758,0.794321709802198,0.817412728732342,0.708842494586139,0.778939752843086,1,1,1,1,1,1,1,0.794989536765302,0.806038467087963,0.841330459834589,0.799176938311869,0.847477464009313,0.811118776302195,0.837194440358115,0.80043269780915,0.808738191289228,0.783565844330423,0.790420105309561,1,1,1,1,1,1,1,1,1
"B_PERTUS.C.7",0,0,0,0,0,0,0,0,0,0,0.812594618820506,0.695603984883158,0.697014603734608,0.716216942899845,0.552645819334597,1,0.77716397776347,0.65919398218638,0.585103550348316,0.765882550148884,0.766079053898376,0.763735748267709,0.655434178937821,0.80738215056771,0.687177934058299,0.521677380903155,0.674900533741514,0.771294585153552,0.70229936694396,0.741342700610273,0.788596750360512,0.612187820239498,0.713082721207561,1,1,1,1,1,1,1,0.826873346306905,0.802873195498196,0.825252605411888,0.832812169385618,0.83948955595889,0.786275090489751,0.825011979528203,0.759548125122043,0.819924911314555,0.825484981788062,0.782437318336493,1,1,1,1,1,1,1,1,1
