"","B_SEPSIS.C.7","B_PNEUM.C.7","B_HIVAIDS.C.7","B_DIARR.C.7","B_MALAR.C.7","B_MEAS.C.7","B_MENING.C.7","B_TETAN.C.7","B_TB_PUL.C.7","B_PERTUS.C.7","B_HEMFEV.C.7","B_INF_OU.C.7","B_ORAL_M.C.7","B_DIG_M.C.7","B_RESP_M.C.7","B_BREA_M.C.7","B_REPR_M.C.7","B_OU_M.C.7","B_ANAEM.C.7","B_MALNUT.C.7","B_DIABET.C.7","B_CARD_AC.C.7","B_SICKLE.C.7","B_STROKE.C.7","B_CARD_OU.C.7","B_COPD.C.7","B_ASTHM.C.7","B_AC_ABD.C.7","B_LIVER.C.7","B_KIDNEY.C.7","B_EPILEP.C.7","B_NCD_OU.C.7","B_CONGEN.C.7","B_P_SML.C.7","B_P_ASPH.C.7","B_P_PNEU.C.7","B_P_SEPS.C.7","B_P_OU.C.7","B_STB_F.C.7","B_STB_M.C.7","B_ACC_TRF.C.7","B_ACC_TRO.C.7","B_FALL.C.7","B_DROWN.C.7","B_FIRE.C.7","B_VENOM.C.7","B_FORCE.C.7","B_POIS.C.7","B_SUIC.C.7","B_ASSAULT.C.7","B_EXT_OU.C.7","B_ECTOP.C.7","B_ABORT.C.7","B_PIH.C.7","B_HAEM.C.7","B_OBS_LB.C.7","B_O_SEPS.C.7","B_PANAEM.C.7","B_UT_RUP.C.7","B_MAT_OU.C.7"
"B_SEPSIS.C.7",0,0.531776749217706,0.673303197202599,0.791427489267878,0.467642047470469,0.53828535767068,0.534792225364907,0.561305425063174,0.802309322587344,0.774778799880882,0.487003249094601,0.386708095198014,1,1,1,1,1,0.69531963167195,0.709473362769132,0.819703571820506,0.738074766335998,0.620441474799127,0.616761800367926,0.729680731902061,0.708784802858768,0.809790184274592,0.703708344223135,0.654710894387836,0.674588107068918,0.671069948563946,0.726612269528146,0.590420176450912,0.495421066900214,1,1,1,1,1,1,1,0.681228124573783,0.665867878684053,0.684491138849284,0.701255547656037,0.715349704714595,0.680395553290177,0.68316145935704,0.671386462915332,0.683028516504843,0.711274784598808,0.637192943330849,1,1,1,1,1,1,1,1,1
"B_PNEUM.C.7",0,0,0.659653516519143,0.841962017247546,0.530402382991556,0.584341994761677,0.646031193431708,0.719508307907901,0.634156350987124,0.630186267456252,0.631965980445831,0.557285069411265,1,1,1,1,1,0.776971152770057,0.636445722688872,0.861051361045953,0.800879936482402,0.704114639177333,0.757977403435469,0.785114034397886,0.761139296937784,0.630287039881509,0.592969831707922,0.753553358402859,0.762788834952624,0.775271680007098,0.805575443290479,0.734445948688597,0.726911732063442,1,1,1,1,1,1,1,0.784551912618671,0.772526032954749,0.789915393930185,0.797908628278935,0.804093367310143,0.762829763460297,0.792830637834391,0.782923882941801,0.78531906161906,0.795856160637597,0.770469756627325,1,1,1,1,1,1,1,1,1
"B_HIVAIDS.C.7",0,0,0,0.70692988234395,0.695091591229634,0.765040711290481,0.783144684463334,0.759175370997375,0.605751343369106,0.592544208272215,0.765082655183537,0.685039863788229,1,1,1,1,1,0.50324041536436,0.559786361543071,0.546434293944917,0.664824187887367,0.731028144854429,0.538083391877676,0.751910995725053,0.63725644317987,0.616566090835569,0.71426489000948,0.689870430407662,0.602889658258419,0.633404733798405,0.692267762154451,0.457041108554241,0.575787116966359,1,1,1,1,1,1,1,0.767924609155276,0.747753743646614,0.767084165544177,0.770620829792743,0.766995161910969,0.754691285098556,0.75980235405061,0.743395588044302,0.742616862812347,0.770014404503959,0.730568081628416,1,1,1,1,1,1,1,1,1
"B_DIARR.C.7",0,0,0,0,0.739732635429456,0.810274689237573,0.809484885183158,0.793400848662739,0.827126844616999,0.835737166265893,0.71100228472854,0.728848447650117,1,1,1,1,1,0.768065043111101,0.812898753255476,0.601044295406648,0.821595732346296,0.777398218843081,0.751053060851124,0.805139397298044,0.864914535357231,0.88821004250745,0.822414699972491,0.599626191596741,0.731321467695874,0.737243864514682,0.828188981969184,0.709048022756084,0.796566394768578,1,1,1,1,1,1,1,0.792318382457055,0.777024897720063,0.798275399977158,0.807432259177374,0.813820780864469,0.789602930486581,0.801818209139685,0.703605592760788,0.787390816908816,0.793407180663235,0.766363761025973,1,1,1,1,1,1,1,1,1
"B_MALAR.C.7",0,0,0,0,0,0.611155943065181,0.523764338697342,0.668606464620287,0.808888390257394,0.769303818510181,0.444100453044691,0.433453372485165,1,1,1,1,1,0.758691656669493,0.672233874217835,0.783426520080709,0.774953827925164,0.645158650499649,0.720063257943031,0.706248489656303,0.799700226982817,0.794088437312631,0.676399770817976,0.630954918085981,0.725915951530067,0.718081177359668,0.70068218058553,0.74650944291095,0.728594345358276,1,1,1,1,1,1,1,0.649226568094407,0.663832789041052,0.681285201766259,0.674741474089914,0.706996330448515,0.671336971237622,0.685708432986297,0.630563970536578,0.681236997933849,0.699479263533837,0.648116998334679,1,1,1,1,1,1,1,1,1
"B_MEAS.C.7",0,0,0,0,0,0,0.67671356304582,0.69624224003612,0.777565436093585,0.771972629477912,0.617505949276772,0.506907021688228,1,1,1,1,1,0.790501275087602,0.743294625217247,0.819980197497782,0.752734475531607,0.716929215461181,0.757684654508165,0.80222739549071,0.802866724355109,0.814502683079511,0.746160705823042,0.77286473080918,0.780742301464994,0.794894800187463,0.804800378213307,0.746433864943454,0.732136846143237,1,1,1,1,1,1,1,0.755934005944869,0.741312223214509,0.760985652214284,0.764388110789545,0.703910024651683,0.74751685993,0.757206134523963,0.75280973916955,0.758010575054145,0.770073026766333,0.723300082104957,1,1,1,1,1,1,1,1,1
"B_MENING.C.7",0,0,0,0,0,0,0,0.602949741887894,0.861815091581078,0.796433325342051,0.516062371842786,0.491379445019378,1,1,1,1,1,0.852714769983358,0.791312697104565,0.873126101615352,0.812868168799061,0.692614458183049,0.832561758025553,0.727196948780016,0.841412244496518,0.895499697789001,0.777343431907134,0.76738906344334,0.795722460562361,0.815670862423408,0.677139293380591,0.810715512265936,0.791494406524705,1,1,1,1,1,1,1,0.741433152829598,0.736309248755427,0.749997730617694,0.759338663352612,0.765815159918968,0.756799019916347,0.761592292320825,0.727564183364769,0.764281738761882,0.757580437597015,0.716908732991029,1,1,1,1,1,1,1,1,1
"B_TETAN.C.7",0,0,0,0,0,0,0,0,0.799845015051425,0.810843550344916,0.667204005694893,0.588568518533507,1,1,1,1,1,0.763435460000983,0.743099231233016,0.788679912379515,0.766101316344564,0.661979904459458,0.694541522832234,0.749584099880491,0.802624287331424,0.857763807194525,0.766360500617101,0.761343764238104,0.730994656282843,0.75591136412746,0.760556126801566,0.716455981498013,0.625857789067277,1,1,1,1,1,1,1,0.705367420698183,0.685663422230492,0.706369359818683,0.713066902829004,0.726656477180988,0.692633188175316,0.694139928004188,0.682907687475925,0.69278937797909,0.720899405268765,0.654448840996228,1,1,1,1,1,1,1,1,1
"B_TB_PUL.C.7",0,0,0,0,0,0,0,0,0,0.491542578565297,0.842792173626013,0.767292750003329,1,1,1,1,1,0.675445463058897,0.6763422892369,0.678794908111723,0.80673510915216,0.795600076407477,0.717923174789474,0.846218133820375,0.741097207357428,0.409422346444247,0.754211666146461,0.835869524307747,0.770959981998342,0.80027244947255,0.829221643753063,0.717675535234737,0.77676700797035,1,1,1,1,1,1,1,0.828590513077274,0.80926681776155,0.844869117255792,0.833303568416533,0.850896685461458,0.814647374866257,0.840876206504262,0.836230822172202,0.840807702673196,0.827853959367205,0.82889139159612,1,1,1,1,1,1,1,1,1
"B_PERTUS.C.7",0,0,0,0,0,0,0,0,0,0,0.834921451065341,0.725729311460143,1,1,1,1,1,0.696740389120807,0.637040070792447,0.786660007749838,0.789956903182202,0.789562836374488,0.703168147365312,0.826773124986336,0.721163306921265,0.520808392781445,0.703867488016128,0.794332432302676,0.733889758066597,0.771431132330655,0.809694981518261,0.654725714066636,0.760005786540984,1,1,1,1,1,1,1,0.842248321248922,0.824218540066676,0.845077435761442,0.848184441338437,0.856922795083936,0.811207736892946,0.845719733473706,0.780309467472449,0.832433961809981,0.833841519121891,0.803373046040163,1,1,1,1,1,1,1,1,1
"B_HEMFEV.C.7",0,0,0,0,0,0,0,0,0,0,0,0.460645853299694,1,1,1,1,1,0.776835490805038,0.726052327292583,0.800673397100179,0.771914138581163,0.66181003311038,0.707777723056491,0.74103196893254,0.800701227240766,0.861109057745068,0.748818312646285,0.597757278066604,0.711721392644175,0.703379144790251,0.735407476888729,0.753175041803033,0.719537364801509,1,1,1,1,1,1,1,0.677753139572706,0.679752051456094,0.699566134774288,0.702534621297488,0.721148703934596,0.694651611755365,0.704869663949449,0.632095973549627,0.6971101714459,0.712448269060233,0.657814551135184,1,1,1,1,1,1,1,1,1
"B_INF_OU.C.7",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0.745233620641414,0.69541263598331,0.77205830353722,0.72101851107403,0.616066580468225,0.699607338817625,0.700027351006968,0.776688986799519,0.818766859155245,0.695402357838566,0.663989498317648,0.700523347880282,0.637343511425311,0.715352184222781,0.693233438539276,0.658654818678926,1,1,1,1,1,1,1,0.658205067118737,0.65265495138731,0.668210187207076,0.677262918878052,0.649151332016703,0.660274662035829,0.66699841363417,0.643249460744956,0.665278856159103,0.690715428160867,0.613948880845029,1,1,1,1,1,1,1,1,1
"B_ORAL_M.C.7",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
