"","B_SEPSIS.C.7","B_PNEUM.C.7","B_HIVAIDS.C.7","B_DIARR.C.7","B_MALAR.C.7","B_MEAS.C.7","B_MENING.C.7","B_TETAN.C.7","B_TB_PUL.C.7","B_PERTUS.C.7","B_HEMFEV.C.7","B_INF_OU.C.7","B_ORAL_M.C.7","B_DIG_M.C.7","B_RESP_M.C.7","B_BREA_M.C.7","B_REPR_M.C.7","B_OU_M.C.7","B_ANAEM.C.7","B_MALNUT.C.7","B_DIABET.C.7","B_CARD_AC.C.7","B_SICKLE.C.7","B_STROKE.C.7","B_CARD_OU.C.7","B_COPD.C.7","B_ASTHM.C.7","B_AC_ABD.C.7","B_LIVER.C.7","B_KIDNEY.C.7","B_EPILEP.C.7","B_NCD_OU.C.7","B_CONGEN.C.7","B_P_SML.C.7","B_P_ASPH.C.7","B_P_PNEU.C.7","B_P_SEPS.C.7","B_P_OU.C.7","B_STB_F.C.7","B_STB_M.C.7","B_ACC_TRF.C.7","B_ACC_TRO.C.7","B_FALL.C.7","B_DROWN.C.7","B_FIRE.C.7","B_VENOM.C.7","B_FORCE.C.7","B_POIS.C.7","B_SUIC.C.7","B_ASSAULT.C.7","B_EXT_OU.C.7","B_ECTOP.C.7","B_ABORT.C.7","B_PIH.C.7","B_HAEM.C.7","B_OBS_LB.C.7","B_O_SEPS.C.7","B_PANAEM.C.7","B_UT_RUP.C.7","B_MAT_OU.C.7"
"B_SEPSIS.C.7",0,0.516727047393588,0.6657428912632,0.793129567337251,0.455841102455876,0.510923437447659,0.53472247183245,0.562599801403574,0.796573462772653,0.74568962257418,0.465565616268636,0.381556772666668,0.710563293706547,0.750086623157506,0.732743564074521,1,0.826481765145724,0.68427178669898,0.704484862728583,0.821228814893814,0.731882384539622,0.606227038890688,0.607326963449194,0.721666044293978,0.696213284917627,0.814751283317861,0.698695862580614,0.644614544846473,0.665863574232527,0.662548426931364,0.721945977867381,0.594020627934188,1,1,1,1,1,1,1,1,0.671665145734219,0.658765840170471,0.677536269549521,0.693234417718154,0.709858637061328,0.672760960611027,0.675564652083393,0.660897847564355,0.683900047814558,0.703214177823871,0.623028102916022,1,1,1,1,1,1,1,1,1
"B_PNEUM.C.7",0,0,0.646765578684633,0.840754998785273,0.513822586411814,0.560467532132399,0.639188632676824,0.712079477701013,0.624675567882063,0.59070982045313,0.616421581605775,0.543848137352081,0.769947652793344,0.802200441280763,0.669002305962905,1,0.856501247609008,0.765801441659874,0.62209501090793,0.85929006818514,0.793505211824846,0.68918747296626,0.750607683267236,0.775975086065438,0.748095066314679,0.640452805437078,0.57998668075399,0.742745059135032,0.753261222888174,0.766476319677124,0.799993688037516,0.727707979237753,1,1,1,1,1,1,1,1,0.775014533182964,0.764920144180254,0.782748365913392,0.790203644010085,0.797873988932791,0.754089898480869,0.785440294807795,0.772794834167963,0.780065996544172,0.787220736181643,0.75789331298916,1,1,1,1,1,1,1,1,1
"B_HIVAIDS.C.7",0,0,0,0.712934991761814,0.72283948617426,0.742198877914096,0.7804532531732,0.752568427413705,0.596464326823027,0.542940254685036,0.796488168554203,0.689995910140166,0.566020938615986,0.579724821978382,0.554134893938117,1,0.66938824794771,0.520049416518764,0.586575607599496,0.550597586845584,0.686596222704231,0.760738471804525,0.566533586344205,0.778187330625317,0.661775738638025,0.658335402809452,0.736184046203618,0.715305376797857,0.628449265487193,0.656987969943263,0.714950948903659,0.495563430075911,1,1,1,1,1,1,1,1,0.798784770968187,0.781772630171371,0.804384209935735,0.805453816009734,0.802195658923437,0.792562700003492,0.798335291476597,0.777054575936805,0.779505792244984,0.79678500585106,0.764057172709388,1,1,1,1,1,1,1,1,1
"B_DIARR.C.7",0,0,0,0,0.746211500851692,0.81123621395754,0.809580383301851,0.792448821186785,0.826463743895307,0.823499693522386,0.712456350402609,0.731268894046168,0.789525312357175,0.62571715067004,0.820905012865041,1,0.730719723764532,0.775956853370288,0.823350310601469,0.602938201707029,0.82998152969186,0.785892952736038,0.759383310276244,0.813055769059243,0.875573193022607,0.902304355591742,0.830127816744513,0.604111804907819,0.738793327282848,0.744307801056,0.836159247405758,0.722794039659984,1,1,1,1,1,1,1,1,0.800402477675172,0.785185930785119,0.807345647090219,0.815863873467257,0.822997625939382,0.798638684141198,0.811270730178842,0.710376304917949,0.799620036263086,0.800886941359543,0.774976766015671,1,1,1,1,1,1,1,1,1
"B_MALAR.C.7",0,0,0,0,0,0.575895414755703,0.517516268302404,0.660285856743587,0.806060986927734,0.742879403080522,0.451140937570007,0.43521281260267,0.812181508071356,0.81668993620788,0.795361896257429,1,0.863605589611835,0.791460052602724,0.702128629693564,0.795158793974851,0.804880997109465,0.670970868240609,0.759665651374113,0.731319154104446,0.835543246295375,0.829454568216703,0.698139573771861,0.654843435466482,0.755942789274552,0.748495604772144,0.7267416577809,0.794120748701513,1,1,1,1,1,1,1,1,0.674606518290941,0.688556152562373,0.708282025761037,0.702530351249861,0.734285618265091,0.698655313802964,0.714172633830405,0.65576432174221,0.716255849076749,0.723768658773609,0.67784176848634,1,1,1,1,1,1,1,1,1
"B_MEAS.C.7",0,0,0,0,0,0,0.658205873782769,0.667876711705512,0.765320687267462,0.728905245121789,0.588359013172799,0.467869596668681,0.78513001711236,0.812865063033661,0.768386702005215,1,0.864691948487586,0.767192605193259,0.710197255702282,0.810333396981511,0.730306937615849,0.687900373803797,0.731878269926973,0.784223945752929,0.782426829606938,0.819313593270342,0.726932832065179,0.753280597407377,0.758307197366712,0.772709914737919,0.794056529464246,0.720740537858689,1,1,1,1,1,1,1,1,0.734906438153393,0.714439837512896,0.734717198205709,0.746606312887803,0.673421912128757,0.718310315761974,0.7289166632573,0.728668119176968,0.740448610212034,0.75027901111467,0.695595752797304,1,1,1,1,1,1,1,1,1
"B_MENING.C.7",0,0,0,0,0,0,0,0.603324720168065,0.859907712561848,0.780051071091338,0.503717240590667,0.489893306279755,0.848353335807204,0.863492384442536,0.871004650077929,1,0.919196945234105,0.850870674559906,0.790495359837192,0.874225850089709,0.810681951319329,0.689085680352779,0.834304243370815,0.723837205606118,0.839853063271737,0.901849366266553,0.775007483239792,0.765166086730552,0.795217156385762,0.81323650628054,0.673147637497466,0.812658904781614,1,1,1,1,1,1,1,1,0.738498187709826,0.734525378197712,0.748434545025404,0.757725638575778,0.76464470489944,0.755282559168451,0.760176520615689,0.725548841401903,0.766265365166099,0.754763136273878,0.713819925230781,1,1,1,1,1,1,1,1,1
"B_TETAN.C.7",0,0,0,0,0,0,0,0,0.800324346046325,0.786222456726331,0.657892919746556,0.59003316054147,0.771620964459827,0.799840627758362,0.789705489001588,1,0.856658613238562,0.755581445563832,0.732632933015473,0.78944029923427,0.759885300828312,0.653183808235399,0.684397298964169,0.743103570080189,0.797095376574299,0.868014859520899,0.761516178982647,0.756270176461674,0.723360452824515,0.747926492251538,0.757148641426596,0.718055044439101,1,1,1,1,1,1,1,1,0.698684557960609,0.675835167800483,0.696615619944031,0.707045033011746,0.718241714917886,0.681699706087228,0.683176054654054,0.674762140829319,0.694617453170387,0.714192405992623,0.646019586308535,1,1,1,1,1,1,1,1,1
"B_TB_PUL.C.7",0,0,0,0,0,0,0,0,0,0.451790415300658,0.839994681395623,0.761110352326154,0.684415829457188,0.705492501805431,0.410817854491087,1,0.781544485564178,0.664872534232839,0.671427482480635,0.678412614173578,0.799452341330526,0.784510181431316,0.713713745877654,0.838089204053444,0.729832596660258,0.437248745031412,0.747793105102419,0.826853116550798,0.765085415151935,0.792649946211636,0.822913781089481,0.713422046210431,1,1,1,1,1,1,1,1,0.819840072658184,0.805809473739299,0.841790378303324,0.82709843849302,0.848035585813668,0.810975399110869,0.837586206738805,0.828856926454592,0.835155228446102,0.819801226792034,0.817866502436233,1,1,1,1,1,1,1,1,1
"B_PERTUS.C.7",0,0,0,0,0,0,0,0,0,0,0.81243225748504,0.695618900248103,0.696961795654568,0.721496266006757,0.554018695253585,1,0.77779185885763,0.659208425569171,0.585006687843593,0.765885776651919,0.766731167977902,0.764647011532421,0.655419127705423,0.808041192682862,0.688377166505054,0.522826750067487,0.674911860520945,0.771308509967444,0.702302883123451,0.742175472207283,0.788609791260429,0.612205592478554,1,1,1,1,1,1,1,1,0.823256105324181,0.802836536380606,0.825218884798966,0.828767851738937,0.839460427094428,0.786231527816021,0.824976614898689,0.753724337711774,0.816032944347678,0.816209422464829,0.777305197709517,1,1,1,1,1,1,1,1,1
