"","ego","alter","indice_norm","time","ego_name","alter_name","indice_euclidien","indice_scalar_product","indice_normalised"
"1",1,2,0.284469341859767,1,"Sepsis (non-obstetric)","Acute resp infect incl pneumonia",0.460770268984101,0.300808305531764,0.0251137398373984
"2",1,3,0.511908529570588,1,"Sepsis (non-obstetric)","HIV/AIDS related death",0.578370750874546,0.479070063098499,0.0443165040650408
"3",2,3,0.519924430735868,1,"Acute resp infect incl pneumonia","HIV/AIDS related death",0.595023675735685,0.521018010692324,0.0567636585365854
"4",1,4,0.553412117086227,1,"Sepsis (non-obstetric)","Diarrhoeal diseases",0.697219740313877,0.594142143897379,0.0535666260162604
"5",2,4,0.63084895045136,1,"Acute resp infect incl pneumonia","Diarrhoeal diseases",0.757549120645687,0.724170901358004,0.0753227235772356
"6",3,4,0.592905828416132,1,"HIV/AIDS related death","Diarrhoeal diseases",0.654673071535956,0.583838193338556,0.0697775203252033
"7",1,5,0.396997098454804,1,"Sepsis (non-obstetric)","Malaria",0.419193831037924,0.249659975315263,0.0330543495934959
"8",2,5,0.449690648258255,1,"Acute resp infect incl pneumonia","Malaria",0.486167307562135,0.382276953710003,0.0476071951219512
"9",3,5,0.557029456200132,1,"HIV/AIDS related death","Malaria",0.622694742813863,0.557574065213927,0.0580173577235773
"10",4,5,0.570142710004485,1,"Diarrhoeal diseases","Malaria",0.663821475213107,0.603276442784152,0.0652113008130082
"11",1,6,0.367780132503744,1,"Sepsis (non-obstetric)","Measles",0.467444102001782,0.336092264870798,0.0281759349593496
"12",2,6,0.428327824039094,1,"Acute resp infect incl pneumonia","Measles",0.526317255212492,0.42953289195364,0.0424971544715447
"13",3,6,0.595274445534885,1,"HIV/AIDS related death","Measles",0.675458963304453,0.626398122099022,0.0580421138211382
"14",4,6,0.546695294679226,1,"Diarrhoeal diseases","Measles",0.693922837834841,0.632335043387397,0.058893861788618
"15",5,6,0.406746197005246,1,"Malaria","Measles",0.532016751392061,0.437924500104525,0.0383132926829269
