"","B_SEPSIS.C.7","B_PNEUM.C.7","B_HIVAIDS.C.7","B_DIARR.C.7","B_MALAR.C.7","B_MEAS.C.7","B_MENING.C.7","B_TETAN.C.7","B_TB_PUL.C.7","B_PERTUS.C.7","B_HEMFEV.C.7","B_INF_OU.C.7","B_ORAL_M.C.7","B_DIG_M.C.7","B_RESP_M.C.7","B_BREA_M.C.7","B_REPR_M.C.7","B_OU_M.C.7","B_ANAEM.C.7","B_MALNUT.C.7","B_DIABET.C.7","B_CARD_AC.C.7","B_SICKLE.C.7","B_STROKE.C.7","B_CARD_OU.C.7","B_COPD.C.7","B_ASTHM.C.7","B_AC_ABD.C.7","B_LIVER.C.7","B_KIDNEY.C.7","B_EPILEP.C.7","B_NCD_OU.C.7","B_CONGEN.C.7","B_P_SML.C.7","B_P_ASPH.C.7","B_P_PNEU.C.7","B_P_SEPS.C.7","B_P_OU.C.7","B_STB_F.C.7","B_STB_M.C.7","B_ACC_TRF.C.7","B_ACC_TRO.C.7","B_FALL.C.7","B_DROWN.C.7","B_FIRE.C.7","B_VENOM.C.7","B_FORCE.C.7","B_POIS.C.7","B_SUIC.C.7","B_ASSAULT.C.7","B_EXT_OU.C.7","B_ECTOP.C.7","B_ABORT.C.7","B_PIH.C.7","B_HAEM.C.7","B_OBS_LB.C.7","B_O_SEPS.C.7","B_PANAEM.C.7","B_UT_RUP.C.7","B_MAT_OU.C.7"
"B_SEPSIS.C.7",0,0.460770268984101,0.578370750874546,0.697219740313877,0.419193831037924,0.467444102001782,0.496986534535659,0.479260629500169,0.706848725153884,0.671803132970548,0.436329878573522,0.335579421777526,0.613952436678071,0.657775011969103,0.653034299134799,0.662667073433015,0.723150829839131,0.576043881437365,0.679285007096012,0.782532631595944,0.704084159860185,0.604141393684172,0.609033994168257,0.697228567586366,0.676210129127748,0.785348998093962,0.683353301896381,0.612843673732301,0.675564404864919,0.64592370891183,0.700357280509482,0.594826428992177,0.666808771428421,0.702302405688796,0.729088280019601,0.610380104189009,0.568183558607011,0.642611660644326,0.736534867408409,0.719502625669794,0.600033150079484,0.582945493386566,0.574731868018007,0.615732506956839,0.603602672096569,0.566269733005067,0.568180510915817,0.572512861185992,0.589011953057284,0.644746271219425,0.632671997214969,0.657840324871314,0.72650652971045,0.734827903500149,0.790514791460356,0.740899898632759,0.597332418560205,0.787548004882939,0.766111896816655,0.705223855396589
"B_PNEUM.C.7",0,0,0.595023675735685,0.757549120645687,0.486167307562135,0.526317255212492,0.598755926068322,0.630430553842208,0.589859900315728,0.582141132194384,0.575518864429734,0.497317353912928,0.691826661893065,0.724311773021218,0.625237770741024,0.713602937290939,0.76784379064311,0.675770099578158,0.626570024676953,0.826450883808399,0.767780205308805,0.680813006488141,0.729961007225905,0.754190969501523,0.728989828202809,0.642409839609631,0.589542190554111,0.70922519670085,0.754371783794841,0.742549038087945,0.777113968027555,0.70901007195785,0.760388479297576,0.790931147119985,0.652264623196384,0.459324947768488,0.693182673861103,0.752414554890491,0.80364612965846,0.794489933180408,0.707713370121157,0.696397168854656,0.69268067926142,0.719138970010512,0.707332420913412,0.667945288069937,0.69165885713519,0.690010752540648,0.695683482303577,0.72995497429504,0.746569934896839,0.745478405837821,0.788009568467209,0.798507994364255,0.827654306607269,0.801892068018599,0.698952873935506,0.827801624708244,0.81728188572468,0.795916019966906
"B_HIVAIDS.C.7",0,0,0,0.654673071535956,0.622694742813863,0.675458963304453,0.699488676788982,0.655876874844497,0.545064764732902,0.555598540704391,0.677752682900421,0.589423163437787,0.503168075875526,0.528943674319795,0.515601363758031,0.55969408491004,0.623823330402975,0.458781868713284,0.570740002116099,0.569785675355647,0.658649649675572,0.717571442444829,0.560875175389194,0.735906710176631,0.651407975176807,0.654159160984962,0.691723184089508,0.657751460923395,0.622792943837799,0.63175490832836,0.671487298698966,0.50009852160008,0.685596881930819,0.773412599209748,0.779983845691668,0.744959698261454,0.773087349590407,0.739773436594262,0.841400976898812,0.833111989444793,0.661474155362696,0.67600413015117,0.672320577862433,0.664169600163914,0.676212225937489,0.659736763168868,0.663202829221068,0.628292492482401,0.629605246907261,0.663394151133249,0.686378666131122,0.755497091979433,0.781521534587778,0.753642481986459,0.812304488744734,0.772530496009098,0.741227795110999,0.76883729449664,0.791456356399671,0.709436591326476
"B_DIARR.C.7",0,0,0,0,0.663821475213107,0.693922837834841,0.74604096620946,0.706599319433319,0.774196654161649,0.734243590780926,0.661930274112534,0.669396267817606,0.723847494862449,0.598021795464278,0.765219245341744,0.750668800601045,0.694962654947579,0.708626010568968,0.794133962539747,0.594191102505815,0.80828669322822,0.772005494589978,0.710503849551473,0.79573116731475,0.847168609664921,0.878646106830866,0.809081685520383,0.605776828804064,0.743751903598506,0.735639705243517,0.812381834169136,0.718998503756036,0.788556200970743,0.81701061197026,0.836470307556601,0.808198097344727,0.793575088684642,0.802489765381314,0.842051412299966,0.836190368392645,0.740621091284393,0.726411959442696,0.729346744544967,0.748758825260996,0.743077653446562,0.720039985024221,0.730306727006789,0.657641207348067,0.727790816414468,0.749833597407994,0.763270565070076,0.705783178357952,0.742307075117212,0.839956434698883,0.856084301765145,0.745095765033693,0.796918895310806,0.868816872221847,0.739514164694724,0.695666462102296
"B_MALAR.C.7",0,0,0,0,0,0.532016751392061,0.499903493467022,0.592151815027227,0.742362473014223,0.659723839298128,0.413430041196803,0.402859129086768,0.700680117861011,0.718022834330078,0.708916464064892,0.728118514001231,0.759022726230175,0.672484417102727,0.658994186210907,0.744971290798422,0.754816337396108,0.646323007813201,0.672713346539717,0.698047672423807,0.77857604922461,0.793831537846647,0.670089493199668,0.616310503341401,0.730024083608308,0.704850629379624,0.690827134158136,0.733400316857604,0.767283233179183,0.704976083684176,0.700776287581842,0.579459079333193,0.60882860285436,0.672204027382044,0.753862735227636,0.74222495094726,0.603797800424566,0.609797408290332,0.608713194651448,0.619767966453586,0.632230696707989,0.598269477900237,0.60965457095543,0.575632616595903,0.622193628802175,0.657550115577918,0.652973745624302,0.626963483939211,0.68474513217885,0.716625599412255,0.782817989749161,0.702022545115078,0.618445014633136,0.804705932318637,0.721185055824601,0.692368278810035
"B_MEAS.C.7",0,0,0,0,0,0,0.622806518114003,0.592992070704874,0.720828260753817,0.649499355821692,0.563035395868662,0.473398757404769,0.715531004700678,0.748582891613527,0.727393233335055,0.742559871579707,0.790911404868114,0.699865110810543,0.725822370285739,0.76798128424827,0.747985874330035,0.721159632833133,0.686039832428368,0.790344045831184,0.796998860288842,0.821399234134356,0.739534921385829,0.744401331982212,0.78689775740151,0.780125347934868,0.786829818015249,0.751301358708522,0.743727261596747,0.772497287361995,0.757183956818355,0.651706932887176,0.686145531878931,0.722946183167866,0.783090423336653,0.771588935438268,0.69240666520079,0.673921599644974,0.669296157488211,0.692037767941403,0.628714327580314,0.655053854229152,0.662952512095491,0.672099926601349,0.682544824206346,0.718568125941385,0.72900162302248,0.747650385737355,0.789998936267659,0.80657901150438,0.830308527493809,0.79033911724697,0.71386531888507,0.832632597831715,0.808334884388554,0.772592802976392
"B_MENING.C.7",0,0,0,0,0,0,0,0.555837769752165,0.785428810008018,0.727807684256362,0.492039582933021,0.464983858544387,0.763947126184413,0.784745340830249,0.799812172484874,0.796363876395804,0.825919165862913,0.752867116442866,0.773156279240704,0.847171336505714,0.791702267612481,0.691860733510044,0.80487815559439,0.720760466600351,0.81644495546644,0.877811268682108,0.761415577440792,0.73705194080101,0.796109350510205,0.79148239381552,0.670943049957693,0.785936598249038,0.80896505412313,0.748480787189555,0.772815369254567,0.672658487792506,0.662046806396085,0.737109607008318,0.764023567850946,0.754161216679333,0.681222802506751,0.683416871911012,0.679125078459282,0.695475392136172,0.694008825627411,0.68226137176764,0.686153317576446,0.65742824162719,0.688553828512495,0.7001325306269,0.708997123564034,0.685594896345892,0.750550286507405,0.686071231580455,0.797737841926306,0.756114304687056,0.629655527659832,0.835064267785595,0.77340718840521,0.768136219968041
"B_TETAN.C.7",0,0,0,0,0,0,0,0,0.723619813943909,0.706063805727283,0.594146848831661,0.519054805493988,0.678878690949399,0.718020665514562,0.721021993582903,0.715752107723433,0.7683028463243,0.658112808614105,0.725192648701769,0.776001056359061,0.753183675063831,0.67254554592784,0.679533849142513,0.741050288009496,0.789094985517323,0.852018414578268,0.751239312623195,0.727224948890036,0.743171874589837,0.742912322233842,0.743010100512698,0.722412576345887,0.681736374418697,0.645471310503018,0.670496595118392,0.632939161621862,0.581996167160851,0.570952557354082,0.675891112646562,0.656396999481815,0.637840227645693,0.618616169508632,0.610935214685254,0.641293340464115,0.630367613442167,0.596495074475957,0.59895397981535,0.601940374282199,0.616639234935013,0.666475892483308,0.671921632668946,0.724459590329058,0.779216083556431,0.762303219242104,0.810786222675353,0.756008764753266,0.733187171028918,0.806892592299528,0.779330692795299,0.72742783784914
"B_TB_PUL.C.7",0,0,0,0,0,0,0,0,0,0.496024306776055,0.768976038939828,0.680544537955639,0.637827649850594,0.659328054021217,0.405813243333062,0.709408053427561,0.735366110595431,0.606719613652943,0.681966598881855,0.693378745717782,0.785987985006799,0.775323691671564,0.732634801060039,0.822520377059164,0.728391326007562,0.470858490234885,0.739938054119876,0.788215716741114,0.767247608973831,0.778622739776552,0.805629442397678,0.703968278486828,0.830136675065062,0.861174533321054,0.746631988831473,0.715072096201279,0.856561549226507,0.841643425080289,0.882422026935722,0.877095062891816,0.726429808533755,0.737069005390936,0.759708675899814,0.732973999306904,0.767579369653712,0.733303494003964,0.753858615901649,0.728204633716628,0.73258948359238,0.724763699364195,0.785395670521047,0.861353332194271,0.869726536932638,0.869462050241508,0.886308953471557,0.867009525733425,0.847729091581591,0.851279860127029,0.876620281111429,0.830769345574943
"B_PERTUS.C.7",0,0,0,0,0,0,0,0,0,0,0.745764106746689,0.655812584775728,0.669122168826758,0.694555209106273,0.579431288722403,0.690969500867219,0.74511271592815,0.645779154743631,0.639908229467841,0.74036011012812,0.781944435284276,0.783701861232143,0.649854123487637,0.814891277691699,0.734962726834476,0.584310261855684,0.705682682008213,0.76815729444737,0.747576655383549,0.765642407160164,0.796052264510012,0.68283648216547,0.788459167640281,0.843695357108574,0.768329066744615,0.733995111102747,0.834399982411918,0.812824162401868,0.859191476881841,0.852729993222158,0.771579312264819,0.751235906782671,0.749115951006907,0.767288808822564,0.761393585992931,0.72081224042682,0.746511134703567,0.708138715469841,0.7517653216941,0.777138909034609,0.794769686955017,0.789981444417329,0.8233314361629,0.85240651413533,0.87209950376032,0.816784974774955,0.772839241743281,0.838524276295021,0.831045213815451,0.787086904621955
