"","B_SEPSIS.C.7","B_PNEUM.C.7","B_HIVAIDS.C.7","B_DIARR.C.7","B_MALAR.C.7","B_MEAS.C.7","B_MENING.C.7","B_TETAN.C.7","B_TB_PUL.C.7","B_PERTUS.C.7","B_HEMFEV.C.7","B_INF_OU.C.7","B_ORAL_M.C.7","B_DIG_M.C.7","B_RESP_M.C.7","B_BREA_M.C.7","B_REPR_M.C.7","B_OU_M.C.7","B_ANAEM.C.7","B_MALNUT.C.7","B_DIABET.C.7","B_CARD_AC.C.7","B_SICKLE.C.7","B_STROKE.C.7","B_CARD_OU.C.7","B_COPD.C.7","B_ASTHM.C.7","B_AC_ABD.C.7","B_LIVER.C.7","B_KIDNEY.C.7","B_EPILEP.C.7","B_NCD_OU.C.7","B_CONGEN.C.7","B_P_SML.C.7","B_P_ASPH.C.7","B_P_PNEU.C.7","B_P_SEPS.C.7","B_P_OU.C.7","B_STB_F.C.7","B_STB_M.C.7","B_ACC_TRF.C.7","B_ACC_TRO.C.7","B_FALL.C.7","B_DROWN.C.7","B_FIRE.C.7","B_VENOM.C.7","B_FORCE.C.7","B_POIS.C.7","B_SUIC.C.7","B_ASSAULT.C.7","B_EXT_OU.C.7","B_ECTOP.C.7","B_ABORT.C.7","B_PIH.C.7","B_HAEM.C.7","B_OBS_LB.C.7","B_O_SEPS.C.7","B_PANAEM.C.7","B_UT_RUP.C.7","B_MAT_OU.C.7"
"B_SEPSIS.C.7",0,0.284469341859767,0.511908529570588,0.553412117086227,0.396997098454804,0.367780132503744,0.413057117893292,0.367856706959557,0.605991217759644,0.58045672065406,0.414981276526078,0.312224649843805,0.515406567062379,0.602513192453196,0.610459300868461,0.579178837868816,0.640188061816765,0.477054725545991,0.538645085272637,0.659269191503475,0.54669599570409,0.487343429838761,0.510552661296527,0.544131367792502,0.551525221501088,0.685410096865946,0.52939059925521,0.488971591687289,0.563722242329045,0.522401623371501,0.567517544613665,0.470503389941062,0.537169862389242,0.650101330228748,0.657369153985688,0.554030533240075,0.504848337488497,0.583873424861166,0.688050081129281,0.672933254592911,0.535218546671158,0.500415855171504,0.460770054595572,0.539562619164953,0.498483557044907,0.455753840165567,0.461059723684459,0.478804121886609,0.489940788999072,0.552854487703327,0.498404550792949,0.65020863256,0.685150522644034,0.708365320997036,0.748412453716613,0.735709638800905,0.578666172357453,0.745677543259513,0.740197299411683,0.674805878778332
"B_PNEUM.C.7",0,0,0.519924430735868,0.63084895045136,0.449690648258255,0.428327824039094,0.523912341195413,0.510946224645637,0.508805476708768,0.502530018945349,0.53421864751392,0.4375454439651,0.611008365529562,0.672550143492227,0.568395787573405,0.6407561255015,0.704950199443421,0.591242164455755,0.522166087148033,0.722379536335738,0.637505661131117,0.583511488668065,0.61975537592865,0.629709681904603,0.610391117567374,0.574768339572832,0.480522217804352,0.585297093109592,0.647530061715499,0.622074940835631,0.657680061128559,0.581567944250868,0.644888323627199,0.744062622075478,0.593223238939166,0.380882233428042,0.621870885056726,0.694980378465599,0.762000209733513,0.753366125984457,0.640442651412222,0.617323068717839,0.589455681768322,0.644076983368858,0.609078494877959,0.569144327624805,0.588267350916401,0.597147261460666,0.601913891018637,0.650904455505644,0.629162932579231,0.726607390563177,0.74689651393063,0.771047462135765,0.790205340267723,0.784598967155515,0.664897994060724,0.787171276970117,0.787713688396573,0.749267358608138
"B_HIVAIDS.C.7",0,0,0,0.592905828416132,0.557029456200132,0.595274445534885,0.625644582052359,0.565400701009416,0.4839065696919,0.493372623155756,0.589439107168945,0.491206202015638,0.43760910601057,0.467768866850507,0.464699874106273,0.490090580482577,0.542749143073935,0.388989145365906,0.477266533934813,0.49831073345912,0.540660287462405,0.624465585378918,0.487530241304955,0.617877914018341,0.539807526908419,0.572573012022447,0.566861195173097,0.555394987714988,0.565522839472293,0.541954602919058,0.577141661030883,0.431916502968077,0.598016867811807,0.706970631136806,0.714405322642954,0.67471259941076,0.700224527100434,0.66532685973275,0.780872568289311,0.772523367939318,0.568219088154822,0.590957190014625,0.570725547833571,0.575293486921574,0.57979080388986,0.555217574758927,0.566996833866902,0.522867222318664,0.52702262759162,0.574784457393556,0.546289058446724,0.740028082854437,0.757062514659971,0.723460814965733,0.77663369846527,0.760541071593557,0.725989781949063,0.74828467497631,0.769167730705586,0.705428345972822
"B_DIARR.C.7",0,0,0,0,0.570142710004485,0.546695294679226,0.650371097671357,0.565101705577646,0.690255431464039,0.643140707909626,0.55915153030449,0.579823590891795,0.642725874834971,0.554392402563155,0.710013916119067,0.681608635874342,0.630547272394968,0.623463783505296,0.678304020161862,0.53071164028179,0.686662531606541,0.662359104912646,0.597634662780951,0.668702849560874,0.72849385538725,0.793172747110274,0.697001733306519,0.531992686077679,0.620451743107464,0.600716986872653,0.6870643992194,0.613117590389869,0.669141147435875,0.749841554743839,0.764176535216545,0.729839604541286,0.706326760189246,0.711288540201648,0.784430542483061,0.7771379075867,0.667399592190056,0.639765767086357,0.617467089521367,0.672269029341554,0.640230178325396,0.611846402995261,0.622026493975051,0.552177597670242,0.632263273571961,0.664130827686207,0.660399892224811,0.648946809858019,0.67811569778716,0.795852776539356,0.804577039981295,0.721790340784663,0.729261623922374,0.817543401734351,0.693494527473601,0.633159095905572
"B_MALAR.C.7",0,0,0,0,0,0.406746197005246,0.422913640347191,0.495158957580101,0.690710835760235,0.574140472016846,0.355877478977347,0.370895885745473,0.627172359961112,0.671292309197804,0.662466045248893,0.650638990136117,0.708117606344843,0.596636654789398,0.534288315824065,0.619984876335793,0.654013776537966,0.558614708083337,0.546116684401299,0.587250141269774,0.662867612388688,0.724249878380551,0.57472963611386,0.571793094233525,0.648954995456501,0.593087536086843,0.597269602026162,0.619565497362783,0.675826861687434,0.656976914446166,0.640591882738759,0.53113334663207,0.577378332644737,0.616729523306527,0.738104312789877,0.727745443556803,0.535943856357073,0.544213245049638,0.523466370854083,0.553340969054874,0.551497905803605,0.496689417136273,0.525026387744508,0.464011467547352,0.543914747709984,0.584598734562767,0.558850841944768,0.64833850570286,0.700616548318771,0.717428924231361,0.762119232572669,0.714497133480972,0.635208956949285,0.791584782686251,0.720499396782767,0.693560641885853
"B_MEAS.C.7",0,0,0,0,0,0,0.539454441025279,0.447331369473035,0.643445048279397,0.538897619499218,0.506553686677549,0.399756627669253,0.636758470924821,0.702502475509488,0.684728854452354,0.667389577280557,0.727871616033322,0.615407566481269,0.56928013058393,0.651813122203381,0.630580859632095,0.616121057543654,0.540591433087867,0.643849247371806,0.655150368375958,0.737883805949503,0.633649103917752,0.62522806110863,0.691216890894608,0.654710259301014,0.645801202218458,0.614838944706372,0.60670310996458,0.716040386237649,0.691193811438582,0.540067376618572,0.580721226247591,0.650247507572995,0.732439437626779,0.72097952079605,0.622241402710888,0.592166331723607,0.563444471583398,0.616336276267181,0.543850394349565,0.534885934282755,0.567964620216734,0.583755856782292,0.592236206891556,0.633844749147149,0.627333610279091,0.697405027894497,0.723336411409883,0.769594151272002,0.773910939530307,0.765345462298804,0.651558632556599,0.774108698073375,0.769013399441427,0.709568137745528
"B_MENING.C.7",0,0,0,0,0,0,0,0.467147693922303,0.714584817013478,0.631616382780785,0.419075215215158,0.400277052061286,0.698767030168409,0.742477259525413,0.756885870759451,0.736031512867165,0.771805478992401,0.672600467953048,0.661413878207266,0.741377258221642,0.690966837002661,0.616764788109032,0.703726730822218,0.625591872902718,0.715572964924147,0.800854441066087,0.645244877109842,0.650694000815246,0.724591653697634,0.690979257351087,0.577069655134842,0.672272448957292,0.706249725786336,0.684721174631615,0.698957323517477,0.625226070606835,0.610300496783344,0.665240389727249,0.732814129997205,0.723177002375924,0.616416698501843,0.614727054652934,0.583159518917364,0.624884418599871,0.603913618980617,0.58380703100673,0.588568851942013,0.535188654656454,0.592907083203304,0.628594600412347,0.611813822205434,0.673242858758567,0.722130237409608,0.6700225981952,0.770133508695322,0.732127507468148,0.630012430805535,0.793892406070975,0.738343507575205,0.736401165158017
"B_TETAN.C.7",0,0,0,0,0,0,0,0,0.628582547571367,0.579444612529799,0.489691072569385,0.448974064423336,0.587763824244022,0.670722711257232,0.678849168185767,0.635413177955587,0.699131132409811,0.574158702112281,0.583465685912593,0.655288591338953,0.607184262161857,0.56842949149873,0.539974262114214,0.59043531278094,0.657340344461972,0.761985262280549,0.626703576086444,0.598375087747561,0.639698791409944,0.597133662929702,0.600074714186451,0.576788714429177,0.540945762248336,0.623343746239057,0.634276054101127,0.59110842845248,0.532892824223793,0.553724575985722,0.649402386120661,0.632624644297312,0.552900533224065,0.522506885295069,0.489521898352649,0.559340907669255,0.52285242785112,0.480222432304835,0.489874957329609,0.498729517343825,0.52187533641942,0.565945101309511,0.553676462419081,0.694905157748206,0.727322196199798,0.730987538178911,0.758025124286397,0.743202118610862,0.6822144359746,0.761147397824132,0.747975525669883,0.685344869913424
"B_TB_PUL.C.7",0,0,0,0,0,0,0,0,0,0.408537118169146,0.701700019439541,0.602758170984601,0.539830881774561,0.601593407859099,0.350042383080255,0.604337553784117,0.653235097119891,0.519356967526456,0.602360895415385,0.659708160895947,0.674676900385865,0.671020343478309,0.642034195693786,0.720131329084171,0.631986167241359,0.432177905203587,0.644381058123139,0.690288962283027,0.668188662372857,0.682036333891644,0.696825182313938,0.606782923270271,0.744175634060491,0.813574705806502,0.714454059363706,0.679578983352894,0.78061481857755,0.781822475722944,0.836169832444284,0.830289929725974,0.617482074418766,0.633536864025064,0.663960167734458,0.629464228617193,0.679228227064822,0.642639792950394,0.661108017473998,0.635403203808287,0.625334150097415,0.616510693757189,0.666717352752005,0.806490410734824,0.81646820872147,0.823266878929008,0.831009752253509,0.825307179869455,0.793723545333275,0.808330312307862,0.827311988044262,0.777059696038176
"B_PERTUS.C.7",0,0,0,0,0,0,0,0,0,0,0.668686298270174,0.569238922076736,0.585159730786138,0.653862659676533,0.543938020515263,0.612535246727089,0.685276607426203,0.57390492065534,0.552188182965493,0.652775652427979,0.686485991716309,0.685368323181313,0.551756816074279,0.710532333713911,0.638666402343209,0.498966864870648,0.60703570409681,0.681700158306062,0.691687875877573,0.667479715714434,0.700059064359959,0.590383209965356,0.691576640934001,0.757109019001524,0.682842778133757,0.663525336089694,0.741303752461609,0.698169632430703,0.768014560170695,0.758642108622901,0.694505681241989,0.659538583434438,0.635271873227996,0.691485452720749,0.650957074293888,0.605576311289377,0.630408435161893,0.607903952336816,0.649585042249288,0.687513024476103,0.688723982715866,0.74159712798493,0.762349088297782,0.800737425395294,0.811446776362703,0.765292800113649,0.730552520889084,0.786935448354028,0.77107780321824,0.729459927730465
