"","B_SEPSIS.C.7","B_PNEUM.C.7","B_HIVAIDS.C.7","B_DIARR.C.7","B_MALAR.C.7","B_MEAS.C.7","B_MENING.C.7","B_TETAN.C.7","B_TB_PUL.C.7","B_PERTUS.C.7","B_HEMFEV.C.7","B_INF_OU.C.7","B_ORAL_M.C.7","B_DIG_M.C.7","B_RESP_M.C.7","B_BREA_M.C.7","B_REPR_M.C.7","B_OU_M.C.7","B_ANAEM.C.7","B_MALNUT.C.7","B_DIABET.C.7","B_CARD_AC.C.7","B_SICKLE.C.7","B_STROKE.C.7","B_CARD_OU.C.7","B_COPD.C.7","B_ASTHM.C.7","B_AC_ABD.C.7","B_LIVER.C.7","B_KIDNEY.C.7","B_EPILEP.C.7","B_NCD_OU.C.7","B_CONGEN.C.7","B_P_SML.C.7","B_P_ASPH.C.7","B_P_PNEU.C.7","B_P_SEPS.C.7","B_P_OU.C.7","B_STB_F.C.7","B_STB_M.C.7","B_ACC_TRF.C.7","B_ACC_TRO.C.7","B_FALL.C.7","B_DROWN.C.7","B_FIRE.C.7","B_VENOM.C.7","B_FORCE.C.7","B_POIS.C.7","B_SUIC.C.7","B_ASSAULT.C.7","B_EXT_OU.C.7","B_ECTOP.C.7","B_ABORT.C.7","B_PIH.C.7","B_HAEM.C.7","B_OBS_LB.C.7","B_O_SEPS.C.7","B_PANAEM.C.7","B_UT_RUP.C.7","B_MAT_OU.C.7"
"B_SEPSIS.C.7",0,0.0251137398373984,0.0443165040650408,0.0535666260162604,0.0330543495934959,0.0281759349593496,0.0374932113821138,0.0249937398373983,0.0533165853658538,0.0472710975609757,0.036475487804878,0.0251127235772357,0.0417749593495936,0.0609875609756099,0.0551508536585367,0.0469815040650408,0.0653704878048782,0.0375513821138213,0.0370363821138211,0.0552839024390246,0.0438269512195123,0.0363819105691056,0.0347903658536585,0.0443326829268294,0.0435563008130083,0.0670423577235774,0.0437800000000001,0.0403452845528457,0.0437514227642278,0.0390241869918701,0.0458941056910571,0.0310819512195121,0.0367885365853659,0.0490303252032521,0.0507361788617887,0.0445633333333334,0.0352808130081301,0.03602081300813,0.0500580487804878,0.046645243902439,0.0391932926829268,0.0352197560975609,0.0318478455284552,0.0376976829268292,0.0361123170731707,0.0312236585365853,0.0307442682926829,0.0356284959349593,0.0358897560975609,0.0422968292682926,0.0335185772357723,0.0523918292682927,0.0622719105691057,0.0651520731707318,0.0743024796747967,0.0658756504065041,0.0472069512195123,0.0650585772357724,0.0686154471544717,0.0487517073170733
"B_PNEUM.C.7",0,0,0.0567636585365854,0.0753227235772356,0.0476071951219512,0.0424971544715447,0.0593989024390244,0.0462660975609757,0.0562678048780488,0.052284918699187,0.0590323983739838,0.0450834552845529,0.0633359349593496,0.0832802439024389,0.0641996341463415,0.0664611788617887,0.0879192682926829,0.0599050406504066,0.0477071951219513,0.0769059349593494,0.0655180894308943,0.0567518292682928,0.0562416666666668,0.0655400813008131,0.0620034552845529,0.0692130894308943,0.0506011382113822,0.0615241463414635,0.064893699186992,0.0605323170731708,0.0680526422764229,0.0515656910569105,0.0587438211382116,0.0729368292682928,0.0591955284552848,0.0392462601626016,0.0575165853658539,0.0585857723577238,0.0726636585365855,0.0692508536585367,0.061376300813008,0.0574027642276422,0.0540674390243902,0.0595595528455284,0.0578928861788617,0.0518578861788618,0.0525248373983739,0.0579334552845528,0.0576987804878049,0.0645123577235773,0.056534918699187,0.0749732113821138,0.0847679268292682,0.0883472764227642,0.096314756097561,0.0879895528455284,0.0692720731707318,0.0864732926829268,0.0908269105691056,0.0710688617886178
"B_HIVAIDS.C.7",0,0,0,0.0697775203252033,0.0580173577235773,0.0580421138211382,0.0698619918699188,0.0502291869918699,0.0526860162601627,0.0504876829268292,0.0641254878048781,0.0497717479674797,0.0446126829268293,0.0571220325203253,0.0516919105691058,0.049994837398374,0.0667610569105691,0.0387468292682927,0.0427880894308944,0.0521982113821139,0.0546396341463415,0.0596661382113822,0.0434080081300814,0.0632510569105692,0.0539096341463416,0.0679686991869919,0.0587227642276423,0.0574303252032522,0.0557071951219514,0.0518084146341465,0.0587311788617887,0.0375573170731707,0.0534506504065043,0.0680908130081302,0.0700650406504066,0.068367804878049,0.0635649593495937,0.0549472357723579,0.0731267479674798,0.0696895528455286,0.0534822357723577,0.0539395934959349,0.0513725609756097,0.0522142682926829,0.0541167073170731,0.0496386178861789,0.0496551626016259,0.0498320731707316,0.0496177235772358,0.0559841463414635,0.0481530487804878,0.0750913414634147,0.0846258943089432,0.0816564634146342,0.0933312601626017,0.0839897967479675,0.074394268292683,0.0809206910569106,0.0873719512195122,0.0657032520325204
"B_DIARR.C.7",0,0,0,0,0.0652113008130082,0.058893861788618,0.0792713008130081,0.0559792276422764,0.0822084959349591,0.0723880487804876,0.0665462601626018,0.0646780487804878,0.072093699186992,0.0733672764227643,0.0862378861788616,0.0764994308943088,0.084006300813008,0.0684758130081302,0.0677453658536587,0.0610172764227643,0.0764139837398372,0.0700575609756098,0.0593204878048781,0.0752895528455285,0.080200243902439,0.102263536585366,0.0793293089430894,0.0604485772357724,0.0674604065040651,0.0635665040650407,0.076940487804878,0.0595810975609755,0.0666478455284554,0.079884918699187,0.0827579268292684,0.0814143495934957,0.0713391463414635,0.066014024390244,0.0814785772357724,0.0780499186991871,0.0696396747967479,0.0649344308943088,0.061891788617886,0.0678879674796747,0.0663026016260161,0.060955894308943,0.0608329268292682,0.0582699999999999,0.0659889837398375,0.071475406504065,0.0649621951219512,0.0724829268292685,0.0827329268292682,0.0979626829268291,0.104913902439024,0.0870886991869917,0.0821842276422763,0.0967675609756096,0.0858650813008129,0.0654444308943091
"B_MALAR.C.7",0,0,0,0,0,0.0383132926829269,0.0458243089430895,0.0423499593495935,0.072915731707317,0.0568522764227642,0.0375381300813009,0.0363534959349593,0.0618619105691058,0.0797533739837398,0.0714979674796748,0.064218861788618,0.0847582520325203,0.0574554065040651,0.0461316260162602,0.0628913414634148,0.0639303252032521,0.0515251219512196,0.0468165853658538,0.0581718292682928,0.0640052032520326,0.0835764634146341,0.0576354065040651,0.0572332113821139,0.0617775609756099,0.0547332520325204,0.0588023577235774,0.0518234552845528,0.0581681707317075,0.0611010162601628,0.0607053252032523,0.0520609349593498,0.0505019918699189,0.048892235772358,0.0666783333333335,0.0632411382113824,0.048670325203252,0.0478715853658536,0.0453858536585365,0.048390162601626,0.049650325203252,0.0427618292682927,0.0442416260162601,0.0426868292682926,0.0494076016260163,0.055004918699187,0.0474104065040651,0.0636413821138213,0.0759970731707317,0.0786008130081301,0.0890642276422764,0.076539837398374,0.062989024390244,0.0829829268292683,0.0794585772357724,0.0623020731707318
"B_MEAS.C.7",0,0,0,0,0,0,0.054864512195122,0.0352845528455285,0.0636470731707318,0.0497787398373983,0.0500628861788618,0.0365238617886179,0.0585729268292683,0.0787895934959349,0.0693471951219512,0.0614339430894309,0.0822822764227642,0.0551704878048781,0.0453671138211383,0.0617853658536587,0.0574463008130082,0.0527320731707318,0.0427479268292684,0.0594967479674798,0.0589032113821139,0.0802427642276422,0.0593301626016261,0.0584239024390245,0.061204024390244,0.0560662195121952,0.0592857317073172,0.0473393495934959,0.0481840650406504,0.0618323577235774,0.0609040650406506,0.0493451219512197,0.0469325203252034,0.0472252032520327,0.0612957723577238,0.0578585772357726,0.0523692276422764,0.0481517886178861,0.0451050813008129,0.0498004471544715,0.045345162601626,0.0424932520325203,0.0440828048780487,0.0498206910569105,0.0498585365853659,0.0554233333333334,0.0490483333333334,0.0638199593495936,0.0736512601626017,0.0791980894308943,0.0852956504065041,0.0768972764227642,0.0602773577235773,0.0760029674796748,0.0796947967479675,0.0590213008130082
"B_MENING.C.7",0,0,0,0,0,0,0,0.0434620731707317,0.0808019105691055,0.0672865040650405,0.0473511382113822,0.0422390243902439,0.0741708536585365,0.0937858943089429,0.0873719512195121,0.0781741463414633,0.0981769512195121,0.0698212601626017,0.0620745528455286,0.0807724796747967,0.0727310569105691,0.061520081300813,0.0656122764227642,0.0666675203252032,0.0744676422764228,0.0984301219512194,0.0695520731707317,0.0700168699186992,0.0744188617886179,0.0689558536585366,0.0611469105691057,0.0612802845528454,0.0660899593495936,0.0688229674796749,0.0714848373983741,0.0659786585365855,0.0579644308943091,0.05773337398374,0.0717032113821139,0.0682745528455286,0.0606069918699186,0.0586903658536584,0.0549404065040649,0.0593390243902438,0.0589040650406503,0.054645975609756,0.0540156910569105,0.0532535772357722,0.0583101219512196,0.0638646747967479,0.0564977235772357,0.0711414634146342,0.0837532520325202,0.0784382926829267,0.0957838211382113,0.0839260975609755,0.0672045528455286,0.0891862601626015,0.0869707723577235,0.0716801219512195
"B_TETAN.C.7",0,0,0,0,0,0,0,0,0.056729268292683,0.0485023170731707,0.0441523983739838,0.0371295528455285,0.0489721951219513,0.0694124390243903,0.0628684146341464,0.0529836178861789,0.0729742276422763,0.0464965853658537,0.0414409349593497,0.0564356910569106,0.0500526422764228,0.0437239430894309,0.0380193902439024,0.0494438211382114,0.0534032113821138,0.0762599186991868,0.0532484552845529,0.0507287804878049,0.0510983333333333,0.0459605284552845,0.0498873577235772,0.039410894308943,0.0382734959349593,0.0484254471544715,0.0503917886178862,0.0488857723577237,0.0384487804878049,0.0354161788617886,0.0487185365853658,0.045285406504065,0.0417415853658537,0.0379591056910569,0.034944918699187,0.0403476016260163,0.0390630487804878,0.0339886991869919,0.0337763008130081,0.0382418292682927,0.0394121951219512,0.0445813821138211,0.0384909349593496,0.0575687398373985,0.067753699186992,0.0688899593495934,0.0769753252032519,0.0682314227642277,0.0572009349593497,0.068133861788618,0.0710321951219513,0.0510668292682928
"B_TB_PUL.C.7",0,0,0,0,0,0,0,0,0,0.0423828861788618,0.0773287398373984,0.0619254878048782,0.0557956910569106,0.0743131707317073,0.0394317479674797,0.0625022357723578,0.0812733333333334,0.0524656097560976,0.0548532113821139,0.0700356910569104,0.0691356504065041,0.0650613414634147,0.0580706097560977,0.0747348780487803,0.0640072764227644,0.0519126829268293,0.0676626829268293,0.0723531707317071,0.06676337398374,0.0661621544715449,0.0718938617886177,0.0536191869918699,0.0675645528455287,0.0795064227642277,0.0710781300813009,0.0698200000000001,0.0719643089430896,0.0656716260162604,0.0794852845528457,0.0760724796747969,0.0589904471544715,0.058720162601626,0.0607019105691057,0.0580192276422764,0.0643566260162601,0.0583614634146342,0.0588300406504065,0.0614541056910569,0.0597560162601626,0.0609183739837399,0.0597092276422765,0.0829735365853658,0.0924186585365853,0.0940833739837399,0.101038658536585,0.0923069512195122,0.0824553252032521,0.088554918699187,0.0951443089430895,0.0734716260162602
"B_PERTUS.C.7",0,0,0,0,0,0,0,0,0,0,0.0693142276422764,0.0547563414634146,0.0566510975609756,0.0764905284552845,0.0577139024390244,0.0593412195121951,0.080774918699187,0.0542200406504065,0.046670406504065,0.0650275203252033,0.0658529268292683,0.0619669918699187,0.0462941463414634,0.0690884959349593,0.0605039837398374,0.0566697154471545,0.0597684146341463,0.0669914227642276,0.0645844715447155,0.0603816260162602,0.0676458536585366,0.0483061382113821,0.0582628861788619,0.0690332926829269,0.063464268292683,0.0638280894308944,0.0634886585365855,0.0540756504065042,0.0679801219512196,0.0645429268292685,0.0618034959349594,0.0568136991869919,0.0539214634146342,0.059210325203252,0.0574176422764228,0.0510322357723577,0.0519723577235773,0.0548159349593496,0.0578220731707317,0.0634346747967479,0.0571726016260162,0.0714436585365853,0.0813034146341463,0.0862681300813008,0.093349430894309,0.0805860162601626,0.0711116260162601,0.0810608130081301,0.0836306910569106,0.0641969512195122
