"","B_SEPSIS.C.7","B_PNEUM.C.7","B_HIVAIDS.C.7","B_DIARR.C.7","B_MALAR.C.7","B_MEAS.C.7","B_MENING.C.7","B_TETAN.C.7","B_TB_PUL.C.7","B_PERTUS.C.7","B_HEMFEV.C.7","B_INF_OU.C.7","B_ORAL_M.C.7","B_DIG_M.C.7","B_RESP_M.C.7","B_BREA_M.C.7","B_REPR_M.C.7","B_OU_M.C.7","B_ANAEM.C.7","B_MALNUT.C.7","B_DIABET.C.7","B_CARD_AC.C.7","B_SICKLE.C.7","B_STROKE.C.7","B_CARD_OU.C.7","B_COPD.C.7","B_ASTHM.C.7","B_AC_ABD.C.7","B_LIVER.C.7","B_KIDNEY.C.7","B_EPILEP.C.7","B_NCD_OU.C.7","B_CONGEN.C.7","B_P_SML.C.7","B_P_ASPH.C.7","B_P_PNEU.C.7","B_P_SEPS.C.7","B_P_OU.C.7","B_STB_F.C.7","B_STB_M.C.7","B_ACC_TRF.C.7","B_ACC_TRO.C.7","B_FALL.C.7","B_DROWN.C.7","B_FIRE.C.7","B_VENOM.C.7","B_FORCE.C.7","B_POIS.C.7","B_SUIC.C.7","B_ASSAULT.C.7","B_EXT_OU.C.7","B_ECTOP.C.7","B_ABORT.C.7","B_PIH.C.7","B_HAEM.C.7","B_OBS_LB.C.7","B_O_SEPS.C.7","B_PANAEM.C.7","B_UT_RUP.C.7","B_MAT_OU.C.7"
"B_SEPSIS.C.7",0,0.300808305531764,0.479070063098499,0.594142143897379,0.249659975315263,0.336092264870798,0.327744479551715,0.372024832489617,0.632282442350275,0.586508073891216,0.268529253501439,0.184859269586999,0.515501594463701,0.551209452482092,0.557469551216913,0.576910178992054,0.627318177480211,0.480763663418426,0.630648569074011,0.745400297770821,0.645702201868792,0.523329647352986,0.541100307302476,0.634538836737609,0.61536141513578,0.709026335057825,0.607701131879984,0.52698440286686,0.619096190086962,0.58183408136195,0.638559562700575,0.522479257292369,0.612825173165258,0.648792632770388,0.676274005794229,0.520932936009854,0.479265173377517,0.583891366424799,0.682858513454814,0.666028384706957,0.508851906477284,0.486869095308723,0.478520651754721,0.530875014694455,0.511320469093467,0.471619660802734,0.47475561290383,0.472312330195811,0.495493815817275,0.551098292860268,0.567811995809354,0.577454744547268,0.653630946486433,0.667815623785126,0.728416011819396,0.682763463952855,0.498718372418371,0.746031150565745,0.706146101072697,0.657135728823024
"B_PNEUM.C.7",0,0,0.521018010692324,0.724170901358004,0.382276953710003,0.42953289195364,0.526135100321069,0.546915914841961,0.515366537776234,0.505788816788691,0.497620333159329,0.386964148828497,0.647357602456685,0.685839035086206,0.561388868147307,0.674733037136648,0.735593586837475,0.624127581725389,0.541201514258535,0.811462157111522,0.741099605627465,0.628341655761609,0.673357821518047,0.72477349623739,0.691340465121803,0.568470137843588,0.515817055738933,0.667714253839788,0.720616999157695,0.704779853478973,0.752728204143987,0.63973532846479,0.723044067450219,0.767877835928266,0.59647965783838,0.346404553288902,0.641905458635813,0.707496578965929,0.784786422144417,0.773365425999801,0.665994483362168,0.651402255438177,0.645916713541058,0.680196741501685,0.665978932289079,0.612407322655763,0.642655371090858,0.643388352784485,0.650389248100359,0.695108388293969,0.706641514880056,0.714361402435339,0.76501961832357,0.777980206237361,0.809385513062445,0.782626323637225,0.655961491369145,0.813205344282261,0.799610526386093,0.771916304980891
"B_HIVAIDS.C.7",0,0,0,0.583838193338556,0.557574065213927,0.626398122099022,0.651873336766654,0.591229579079487,0.451951351392347,0.467145556381842,0.628074336950176,0.513799178143361,0.402325065767638,0.424402342870461,0.413730179959376,0.473715732847761,0.539112144004217,0.347386871442947,0.477821571679851,0.489677360178684,0.605044553790258,0.678858317563658,0.457037307807705,0.702395286415558,0.595470017708992,0.572410456143482,0.645533956097254,0.603957867788172,0.556925110369463,0.567727076117988,0.621246038903472,0.367592958996014,0.633748998487798,0.748417485861336,0.756287838340035,0.713780264352559,0.746585173666268,0.6987439171188,0.828562287140341,0.8193788532799,0.608740620953036,0.627276930232493,0.622428640893312,0.612177185157688,0.627529241004601,0.605686014058854,0.610003528106685,0.566039226786707,0.567706792091126,0.60848977043056,0.635707971944784,0.72612843170488,0.754039587773059,0.720417220731291,0.786498584468003,0.745615522931447,0.708964212471742,0.741508981387275,0.765457980397348,0.668211222538609
"B_DIARR.C.7",0,0,0,0,0.603276442784152,0.632335043387397,0.713416179226395,0.621490167723118,0.747292923099877,0.697105322857724,0.601870183034855,0.59224129870655,0.680888810010604,0.525671286996184,0.736184092752821,0.716760958473166,0.651244651704508,0.65172488948443,0.74288142255156,0.508102812115807,0.782998455483965,0.730303277046088,0.61597861137674,0.768605238664961,0.826840813956763,0.870918979033967,0.787689428684309,0.516984962059404,0.69137661645977,0.678435095372062,0.789022122168243,0.620176005263867,0.74150205757558,0.790439924636875,0.818155677606156,0.782369717189985,0.754802352107483,0.752776149330778,0.825946944615395,0.81680448809452,0.696408264929037,0.677321028386027,0.679284892075921,0.706369505226355,0.700906901727449,0.663417319008207,0.676454483368921,0.586886978922363,0.678835927237926,0.715947065497984,0.709519666897312,0.657124621759996,0.709227539192116,0.826253572184007,0.845850603497051,0.710225566563689,0.770149173528264,0.858145123208272,0.706167433048371,0.627508577330318
"B_MALAR.C.7",0,0,0,0,0,0.437924500104525,0.396940244561424,0.497078069268752,0.709771637410299,0.605862216824445,0.291883832891375,0.269650207555016,0.658575514426206,0.677300415550533,0.668077694383566,0.692720745106305,0.72366159679654,0.620567870565203,0.586988502254606,0.713674846202363,0.725495757272154,0.584591059614348,0.598184221120453,0.655020225019519,0.753117211812333,0.763542424162657,0.619648590063711,0.548977347025326,0.690864243314069,0.657799759654878,0.645901703640136,0.674781919287972,0.732774500567575,0.661972082637311,0.658517291513241,0.50171722318295,0.532788409011619,0.603248376987333,0.724740088582776,0.70998636403381,0.532926831562303,0.540425816678838,0.538153881063168,0.553470836892244,0.570330792701678,0.52252306698645,0.537111281454276,0.496040215570718,0.556420496720686,0.603349186870439,0.586407267369811,0.564321841413177,0.636069529908682,0.677114251218985,0.754453365981939,0.659892854549099,0.553039224735923,0.785959453928577,0.681642154185589,0.643187682499595
"B_MEAS.C.7",0,0,0,0,0,0,0.549462583079889,0.511253093907191,0.678510928912939,0.587817161755074,0.477559941134914,0.365200140951849,0.67529878241626,0.709662896576759,0.687012682110026,0.707731620972451,0.756014072919395,0.657547895726347,0.684026723444171,0.741203627963322,0.717121820988049,0.683980872457006,0.6284412915626,0.768371537048761,0.776904061473106,0.790161089275737,0.704540558223642,0.713022844948138,0.764370408542307,0.755884329585051,0.764124647175926,0.709427917424894,0.709245212726968,0.747457214476646,0.728028527682343,0.595823066409545,0.639069461046479,0.679606871125973,0.758914937182854,0.745995889316369,0.647962196635005,0.624551501113396,0.618742358137708,0.647551873986984,0.566120249872279,0.600312318031188,0.61037273080673,0.622200881081634,0.635551832035092,0.677379447175453,0.691468114474885,0.715685178749902,0.762814196182414,0.783851462278993,0.806581014354967,0.766164202755324,0.674284481718148,0.817041565222221,0.78440715130088,0.747145501351887
"B_MENING.C.7",0,0,0,0,0,0,0,0.428990792765644,0.762998462263633,0.692287223170481,0.387599051317514,0.333291126924005,0.735811333795962,0.762059593594734,0.780186018316413,0.775743230461754,0.80931286782072,0.717521915083034,0.727367490932405,0.834265390815972,0.767866567621651,0.636347748084199,0.763212169383873,0.680854931850144,0.795240032809963,0.868041284247043,0.733230678348563,0.699079367710696,0.767659087740872,0.760733075697083,0.617413171427267,0.733290974792483,0.778027572221375,0.711993138298205,0.745665124859917,0.618016476322453,0.593378613904651,0.678060665040227,0.735801630600523,0.721846006390601,0.628208173689519,0.63050584802544,0.623543909316643,0.646189146795538,0.645650831745743,0.624801386505834,0.629451948094131,0.596987444873704,0.636935382652556,0.657350089854103,0.650091956487865,0.637434305506849,0.720644877372649,0.640096347797495,0.776343916527786,0.727132544397739,0.563913692507421,0.821295830550913,0.748439881110007,0.73303237379999
"B_TETAN.C.7",0,0,0,0,0,0,0,0,0.664767595381142,0.643518207146305,0.497769077944715,0.418890260579722,0.613823750198946,0.64883813055618,0.661680512152803,0.658633439550975,0.704412081585957,0.597020906976765,0.689300137478902,0.742494373511999,0.715415355569059,0.618576011198773,0.63114458095327,0.698657237990854,0.763476505234421,0.812547489638274,0.706572440408143,0.684439616120314,0.709088607768122,0.709418807804559,0.701061461493593,0.684246640004252,0.634153786959589,0.580515071290932,0.60635911633524,0.559847833367828,0.502758610303737,0.491630165506411,0.610292986960904,0.590003673058946,0.56770265813495,0.543042130674048,0.534718947494601,0.572810132532872,0.556146526765459,0.518587747098785,0.522195242411572,0.520615107637115,0.540713666826673,0.591964334353513,0.621309740189012,0.674783715530955,0.734105646507348,0.713729268009104,0.765196342542786,0.710563869184623,0.688454898442294,0.776655972401924,0.732554767303024,0.689237979024595
"B_TB_PUL.C.7",0,0,0,0,0,0,0,0,0,0.394812506696208,0.742692309982461,0.622587424158912,0.577197401740404,0.60521834853702,0.282792941261136,0.669328968458322,0.69818513683919,0.5302509426507,0.608048924427101,0.64737223338176,0.761725947560679,0.744455083461492,0.669304032081947,0.805849766627044,0.687564135363887,0.34825207809231,0.707211582839619,0.763445530208246,0.733206510191445,0.746242242105249,0.78586064897648,0.623398399137978,0.805921816453493,0.849103581203546,0.714203897732264,0.673510048226179,0.841068222676676,0.815934428868568,0.875183549644676,0.868496963401201,0.687206170296198,0.700192007306246,0.727497821708661,0.695159165589707,0.739067379374556,0.69238396797932,0.718027108818058,0.689196503795093,0.694420131802756,0.688603819374384,0.751297980218664,0.851333421631951,0.861220407480118,0.860994269561845,0.878752495666937,0.858198415977428,0.83528759757491,0.84022096504368,0.868880823460706,0.811304396155711
"B_PERTUS.C.7",0,0,0,0,0,0,0,0,0,0,0.714518505250423,0.59179235570652,0.617928504041668,0.649692748861291,0.502645596274189,0.646243562379401,0.70949215156219,0.582916882222905,0.553182998935891,0.706993859206732,0.757360160020275,0.755788553768311,0.557725030311332,0.797221987193239,0.696890749796973,0.495676097162063,0.66469225386707,0.739633559026092,0.70965659114646,0.731194272582698,0.774823762519899,0.596817842863796,0.755378955067702,0.829317945952282,0.741368911519673,0.698043532973719,0.815543106125273,0.781172949694285,0.849122608659501,0.841030971838922,0.744036347998765,0.718670352070254,0.715196154474147,0.738569646780932,0.732088899183184,0.677685162162775,0.70989376281797,0.664709348946934,0.719206573100145,0.753050175721702,0.76436768270731,0.768038977880737,0.807705211300928,0.841529487622099,0.86233538001439,0.800329115960273,0.746796904877827,0.825637585340274,0.816528022748874,0.759165842900726
